s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
0.7102,0.3334,60.8727,0.3306,1.5937,1.0522,0.0000,0.0000,0.0000,0.0000,3,offspring,0,5
0.4406,0.3125,82.4933,0.5583,0.0437,0.1541,0.0000,0.0000,0.0000,0.0000,3,offspring,8,2
0.8207,0.8092,47.0214,0.1619,0.2264,0.3609,0.0000,0.0000,0.0000,0.0000,3,offspring,7,3
0.8588,0.4348,53.9538,0.1590,0.1023,0.6320,0.0000,0.0000,0.0000,0.0000,3,offspring,7,2
0.5507,0.3000,54.1202,0.7105,0.1179,1.6433,0.0000,0.0000,0.0000,0.0000,3,offspring,7,2
0.8327,0.4059,59.2042,0.1401,0.3293,0.6488,0.0000,0.0000,0.0000,0.0000,3,offspring,3,5
0.7272,0.6982,68.7696,0.3777,0.4706,0.8232,0.0000,0.0000,0.0000,0.0000,3,offspring,3,4
0.6291,0.3218,68.2697,0.7030,0.0868,0.4724,0.0000,0.0000,0.0000,0.0000,3,offspring,5,2
0.7830,0.4466,86.6526,0.3133,0.1259,0.9624,0.0000,0.0000,0.0000,0.0000,3,offspring,8,4
0.8028,0.5159,68.2012,0.5044,0.3077,0.3782,0.0000,0.0000,0.0000,0.0000,3,offspring,9,0
0.9000,0.8815,76.7461,1.3814,0.1612,1.1801,0.0000,0.0000,0.0000,0.0000,3,offspring,2,1
0.6529,0.3531,57.9763,0.8316,0.4263,1.6948,0.0000,0.0000,0.0000,0.0000,3,offspring,7,4
0.3656,0.3000,71.7206,0.4887,1.0440,0.8327,0.0000,0.0000,0.0000,0.0000,3,offspring,6,9
0.6644,0.3551,65.7846,0.4215,0.0846,0.9388,0.0000,0.0000,0.0000,0.0000,3,offspring,5,2
0.7737,0.4073,71.3647,0.5633,0.2683,0.5105,0.0000,0.0000,0.0000,0.0000,3,offspring,5,9
0.7371,0.5340,69.6195,0.3496,0.1418,0.8921,0.0000,0.0000,0.0000,0.0000,3,offspring,2,5
0.6627,0.4163,59.7190,0.1533,0.2167,0.9826,0.0000,0.0000,0.0000,0.0000,3,offspring,3,5
0.8294,0.4603,51.0173,0.2234,0.0144,0.1723,0.0000,0.0000,0.0000,0.0000,3,offspring,5,7
0.8256,0.4603,60.3060,0.2338,0.2191,0.3257,0.0000,0.0000,0.0000,0.0000,3,offspring,3,5
0.3242,0.3000,81.6223,0.9376,0.3590,0.2366,0.0000,0.0000,0.0000,0.0000,3,offspring,9,1
0.8591,0.4414,73.8544,0.2006,0.0542,0.2027,0.0000,0.0000,0.0000,0.0000,3,offspring,5,1
0.9000,0.7390,71.7485,3.5248,1.6788,5.5685,0.0000,0.0000,0.0000,0.0000,3,offspring,9,6
0.6717,0.3485,58.8763,0.5223,0.3822,0.1641,0.0000,0.0000,0.0000,0.0000,3,offspring,9,7
0.8169,0.4649,66.1943,0.6676,0.0600,0.3346,0.0000,0.0000,0.0000,0.0000,3,offspring,7,8
0.9000,0.5795,68.3240,1.5091,0.9972,0.3872,0.0000,0.0000,0.0000,0.0000,3,offspring,3,9
0.6589,0.5951,69.2453,0.2184,0.1489,0.6387,0.0000,0.0000,0.0000,0.0000,3,offspring,1,3
0.6841,0.5031,47.6061,0.0637,0.0923,0.2030,0.0000,0.0000,0.0000,0.0000,3,offspring,7,3
0.6989,0.6555,59.8154,0.2971,0.9101,0.4034,0.0000,0.0000,0.0000,0.0000,3,offspring,5,0
0.8571,0.4972,67.0971,0.4697,0.3509,0.7721,0.0000,0.0000,0.0000,0.0000,3,offspring,4,3
0.6773,0.6702,82.7353,0.2298,0.2425,0.6919,0.0000,0.0000,0.0000,0.0000,3,offspring,8,2
0.8524,0.4058,60.2380,0.0662,0.1235,0.1182,0.0000,0.0000,0.0000,0.0000,3,offspring,5,0
0.5237,0.3704,55.7727,0.1913,0.6348,0.4069,0.0000,0.0000,0.0000,0.0000,3,offspring,3,0
0.8547,0.7190,55.9024,0.1236,0.5733,0.6037,0.0000,0.0000,0.0000,0.0000,3,offspring,0,3
0.8056,0.3382,78.8499,0.3804,0.2372,2.9602,0.0000,0.0000,0.0000,0.0000,3,offspring,6,8
0.8925,0.3256,59.1313,0.1790,0.2691,0.7547,0.0000,0.0000,0.0000,0.0000,3,offspring,4,7
0.9000,0.5407,65.8454,0.7510,0.2051,0.3820,0.0000,0.0000,0.0000,0.0000,3,offspring,8,7
0.5175,0.4836,67.8357,0.3798,0.9061,2.2569,0.0000,0.0000,0.0000,0.0000,3,offspring,0,4
0.9000,0.7798,46.9558,0.2077,1.0767,0.5624,0.0000,0.0000,0.0000,0.0000,3,offspring,7,3
0.5694,0.4371,64.3565,0.2737,0.2281,0.8740,0.0000,0.0000,0.0000,0.0000,3,offspring,3,2
0.4070,0.3175,78.9128,0.2524,0.0428,0.1518,0.0000,0.0000,0.0000,0.0000,3,offspring,5,8
0.5624,0.3219,88.8983,0.5005,0.2588,0.5326,0.0000,0.0000,0.0000,0.0000,3,offspring,1,8
0.6209,0.3857,74.7194,0.3777,0.1080,1.3102,0.0000,0.0000,0.0000,0.0000,3,offspring,4,2
0.7471,0.3898,59.1340,0.1871,0.0946,1.1173,0.0000,0.0000,0.0000,0.0000,3,offspring,3,6
0.9000,0.3146,67.5681,1.2682,0.2418,2.2237,0.0000,0.0000,0.0000,0.0000,3,offspring,9,5
0.5693,0.3247,78.6810,0.1608,0.2892,2.3607,0.0000,0.0000,0.0000,0.0000,3,offspring,8,6
0.3784,0.3000,71.5085,1.9648,0.9264,2.6132,0.0000,0.0000,0.0000,0.0000,3,offspring,9,2
0.8270,0.3775,67.5548,0.4522,0.1744,1.3997,0.0000,0.0000,0.0000,0.0000,3,offspring,2,6
0.8045,0.7819,55.0665,0.1328,0.1760,0.8775,0.0000,0.0000,0.0000,0.0000,3,offspring,7,2
0.8563,0.3216,67.6109,1.5368,0.9361,1.0368,0.0000,0.0000,0.0000,0.0000,3,offspring,0,9
0.8337,0.5179,70.4800,0.2809,0.2735,0.5569,0.0000,0.0000,0.0000,0.0000,3,offspring,1,3
0.5840,0.3426,75.1028,0.0595,0.2235,0.0756,0.0000,0.0000,0.0000,0.0000,3,offspring,8,3
0.6037,0.5112,60.9108,0.1258,0.1255,0.1124,0.0000,0.0000,0.0000,0.0000,3,offspring,1,7
0.8225,0.7052,47.7227,0.0614,0.4381,0.2027,0.0000,0.0000,0.0000,0.0000,3,offspring,7,0
0.8922,0.5626,59.8352,0.1094,0.2441,1.9626,0.0000,0.0000,0.0000,0.0000,3,offspring,0,5
0.6663,0.3000,57.3985,0.8676,0.7748,0.5486,0.0000,0.0000,0.0000,0.0000,3,offspring,9,7
0.8337,0.8067,61.2881,0.1350,0.1760,0.4289,0.0000,0.0000,0.0000,0.0000,3,offspring,1,7
0.3654,0.3259,58.9940,0.1766,0.1820,1.0425,0.0000,0.0000,0.0000,0.0000,3,offspring,3,6
0.7220,0.5709,71.4218,0.4717,0.1598,0.7063,0.0000,0.0000,0.0000,0.0000,3,offspring,4,5
0.6163,0.3749,59.0283,0.1332,0.4696,0.8764,0.0000,0.0000,0.0000,0.0000,3,offspring,6,0
0.7341,0.5392,47.0969,0.0940,0.2219,0.2011,0.0000,0.0000,0.0000,0.0000,3,offspring,0,7
0.6001,0.4147,74.4847,0.2397,0.4375,2.4783,0.0000,0.0000,0.0000,0.0000,3,offspring,1,6
0.6363,0.3536,74.5104,0.3760,0.1200,1.9293,0.0000,0.0000,0.0000,0.0000,3,offspring,6,9
0.5967,0.3958,67.7216,1.0209,0.1358,0.5607,0.0000,0.0000,0.0000,0.0000,3,offspring,2,5
0.7426,0.3000,64.9542,0.4165,0.3252,1.1947,0.0000,0.0000,0.0000,0.0000,3,offspring,2,0
0.4623,0.4025,75.2830,0.3886,0.3790,0.3696,0.0000,0.0000,0.0000,0.0000,3,offspring,8,3
0.3969,0.3000,68.1439,0.5429,0.0332,0.5333,0.0000,0.0000,0.0000,0.0000,3,offspring,2,5
0.8394,0.6109,69.9434,0.3241,0.9207,0.6768,0.0000,0.0000,0.0000,0.0000,3,offspring,5,9
0.4496,0.4447,82.6689,0.6534,0.0514,0.7570,0.0000,0.0000,0.0000,0.0000,3,offspring,2,8
0.5227,0.3983,59.8980,0.1945,0.9904,1.0982,0.0000,0.0000,0.0000,0.0000,3,offspring,6,0
0.3914,0.3358,58.8301,0.4433,0.8999,0.9644,0.0000,0.0000,0.0000,0.0000,3,offspring,7,9
0.3914,0.3358,58.8301,0.4433,0.8999,0.9644,0.0000,0.0000,0.0000,0.0000,3,parent,-1,-1
0.5227,0.3983,59.8980,0.1945,0.9904,1.0982,0.0000,0.0000,0.0000,0.0000,3,parent,-1,-1
