
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 09:38:07 June 25, 2025

	   0.0	 180.0
0.000	      0.278888	      0.278888	
0.500	      0.278788	      0.278985	
1.000	      0.278788	      0.278985	
1.500	      0.278684	      0.279079	
2.000	      0.278577	      0.279169	
2.500	      0.278466	      0.279257	
3.000	      0.278466	      0.279257	
3.500	      0.278351	      0.279343	
4.000	      0.278232	      0.279425	
4.500	      0.278232	      0.279425	
5.000	      0.278108	      0.279505	
5.500	       0.27798	      0.279583	
6.000	      0.277847	      0.279658	
6.500	      0.277847	      0.279658	
7.000	      0.277708	      0.279731	
7.500	      0.277564	      0.279802	
8.000	      0.277564	      0.279802	
8.500	      0.277413	      0.279871	
9.000	      0.277256	      0.279937	
9.500	      0.277093	          0.28	
10.000	      0.277093	          0.28	
10.500	      0.276921	      0.280061	
11.000	      0.276742	      0.280118	
11.500	      0.276742	      0.280118	
12.000	      0.276554	       0.28017	
12.500	      0.276357	      0.280211	
13.000	      0.276357	      0.280211	
13.500	      0.276149	      0.280232	
14.000	      0.275929	      0.280193	
14.500	      0.275696	      0.279903	
15.000	      0.275696	      0.279903	
15.500	      0.275449	      0.276679	
16.000	      0.275184	      0.333222	
16.500	      0.275184	      0.333222	
17.000	      0.274898	      0.227839	
17.500	      0.274584	      0.284393	
18.000	      0.274233	      0.281137	
18.500	      0.274233	      0.281137	
19.000	       0.27382	      0.280784	
19.500	      0.273283	      0.280594	
20.000	      0.273283	      0.280594	
20.500	      0.272374	      0.280135	
21.000	      0.268354	      0.276448	
21.500	      0.315622	      0.329501	
22.000	      0.315622	      0.329501	
22.500	      0.263461	      0.277232	
23.000	      0.315454	      0.284877	
23.500	      0.315454	      0.284877	
24.000	      0.266341	      0.232529	
24.500	      0.269407	      0.285345	
25.000	      0.269258	      0.278511	
25.500	      0.269258	      0.278511	
26.000	      0.268641	      0.335047	
26.500	      0.267732	      0.229841	
27.000	      0.267732	      0.229841	
27.500	      0.266328	      0.290709	
28.000	      0.261596	      0.235598	
28.500	      0.310992	      0.295887	
29.000	      0.310992	      0.295887	
29.500	      0.258674	      0.186313	
30.000	      0.260117	      0.291982	
30.500	      0.260117	      0.291982	
31.000	      0.255051	      0.285237	
31.500	      0.307041	      0.291757	
32.000	      0.197265	      0.185503	
32.500	      0.197265	      0.185503	
33.000	       0.30261	      0.291225	
33.500	      0.188718	      0.283527	
34.000	      0.188718	      0.283527	
34.500	      0.232422	      0.282449	
35.000	      0.208032	      0.282084	
35.500	      0.208032	      0.282084	
36.000	      0.233442	       0.28192	
36.500	    0.00416974	      0.281838	
37.000	      0.104623	      0.281795	
37.500	      0.104623	      0.281795	
38.000	       1.69546	      0.281773	
38.500	       20.2968	      0.281764	
39.000	       20.2968	      0.281764	
39.500	       1.70256	      0.281763	
40.000	     0.0739337	      0.281768	
40.500	      0.082868	      0.281776	
41.000	      0.082868	      0.281776	
41.500	      0.312092	      0.281786	
42.000	      0.089047	      0.281798	
42.500	      0.089047	      0.281798	
43.000	      0.364282	      0.281811	
43.500	      0.160998	      0.281825	
44.000	      0.377648	       0.28184	
44.500	      0.377648	       0.28184	
45.000	      0.176058	      0.281855	
45.500	      0.346929	       0.28187	
46.000	      0.346929	       0.28187	
46.500	      0.100253	      0.281885	
47.000	      0.311633	      0.281901	
47.500	      0.104945	      0.281916	
48.000	      0.104945	      0.281916	
48.500	      0.255517	      0.281931	
49.000	       0.24035	      0.281946	
49.500	       0.24035	      0.281946	
50.000	      0.289992	      0.281961	
50.500	       0.22838	      0.281976	
51.000	      0.336855	      0.281991	
51.500	      0.336855	      0.281991	
52.000	      0.231464	      0.282005	
52.500	      0.244919	       0.28202	
53.000	      0.244919	       0.28202	
53.500	      0.129722	      0.282034	
54.000	      0.391607	      0.282048	
54.500	      0.234454	      0.282061	
55.000	      0.234454	      0.282061	
55.500	       0.32131	      0.282074	
56.000	      0.282695	      0.282088	
56.500	      0.282695	      0.282088	
57.000	       1.05867	        0.2821	
57.500	       8.42926	      0.282113	
58.000	       8.42926	      0.282113	
58.500	       5.44213	      0.282125	
59.000	       4.64824	      0.282137	
59.500	       6.82344	      0.282149	
60.000	       6.82344	      0.282149	
60.500	       6.58572	      0.282161	
61.000	       6.97974	      0.282172	
61.500	       6.97974	      0.282172	
62.000	       6.39262	      0.282184	
62.500	       5.25774	      0.282195	
63.000	       6.24561	      0.282205	
63.500	       6.24561	      0.282205	
64.000	        4.4501	      0.282216	
64.500	       6.14552	      0.282226	
65.000	       6.14552	      0.282226	
65.500	       3.12009	      0.282236	
66.000	       2.09833	      0.282246	
66.500	       3.47503	      0.282255	
67.000	       3.47503	      0.282255	
67.500	       2.27681	      0.282265	
68.000	        2.4555	      0.282274	
68.500	        2.4555	      0.282274	
69.000	       2.41307	      0.282283	
69.500	       2.18058	      0.282291	
70.000	       2.69153	        0.2823	
70.500	       2.69153	        0.2823	
71.000	      0.237582	      0.282308	
71.500	       1.97339	      0.282316	
72.000	       1.97339	      0.282316	
72.500	       1.21685	      0.282324	
73.000	       7.41416	      0.282332	
73.500	       11.3658	      0.282339	
74.000	       11.3658	      0.282339	
74.500	       70.1745	      0.282347	
75.000	       710.062	      0.282354	
75.500	       710.062	      0.282354	
76.000	       69.2371	      0.282361	
76.500	       13.1586	      0.282368	
77.000	       5.51271	      0.282374	
77.500	       5.51271	      0.282374	
78.000	       2.94397	       0.28238	
78.500	       1.77258	      0.282387	
79.000	       1.77258	      0.282387	
79.500	       1.14078	      0.282393	
80.000	      0.761336	      0.282398	
80.500	      0.761336	      0.282398	
81.000	      0.515657	      0.282404	
81.500	      0.347488	      0.282409	
82.000	      0.227329	      0.282415	
82.500	      0.227329	      0.282415	
83.000	      0.138495	       0.28242	
83.500	     0.0709686	      0.282425	
84.000	     0.0709686	      0.282425	
84.500	     0.0184407	       0.28243	
85.000	     0.0232241	      0.282434	
85.500	     0.0568279	      0.282439	
86.000	     0.0568279	      0.282439	
86.500	     0.0843241	      0.282443	
87.000	      0.107108	      0.282447	
87.500	      0.107108	      0.282447	
88.000	      0.126199	      0.282451	
88.500	      0.142353	      0.282455	
89.000	      0.156143	      0.282458	
89.500	      0.156143	      0.282458	
90.000	       0.16801	      0.282462	
90.500	      0.178295	      0.282465	
91.000	      0.178295	      0.282465	
91.500	      0.187267	      0.282468	
92.000	      0.195141	      0.282471	
92.500	      0.202089	      0.282474	
93.000	      0.202089	      0.282474	
93.500	       0.20825	      0.282477	
94.000	      0.213739	      0.282479	
94.500	      0.213739	      0.282479	
95.000	      0.218651	      0.282481	
95.500	      0.223063	      0.282484	
96.000	      0.227041	      0.282486	
96.500	      0.227041	      0.282486	
97.000	      0.230641	      0.282488	
97.500	      0.233908	      0.282489	
98.000	      0.233908	      0.282489	
98.500	      0.236883	      0.282491	
99.000	      0.239599	      0.282492	
99.500	      0.242085	      0.282494	
100.000	      0.242085	      0.282494	
100.500	      0.244368	      0.282495	
101.000	      0.246467	      0.282496	
101.500	      0.246467	      0.282496	
102.000	      0.248404	      0.282497	
102.500	      0.250193	      0.282497	
103.000	      0.250193	      0.282497	
103.500	      0.251849	      0.282498	
104.000	      0.253386	      0.282498	
104.500	      0.254814	      0.282499	
105.000	      0.254814	      0.282499	
105.500	      0.256144	      0.282499	
106.000	      0.257385	      0.282499	
106.500	      0.257385	      0.282499	
107.000	      0.258543	      0.282499	
107.500	      0.259627	      0.282498	
108.000	      0.260642	      0.282498	
108.500	      0.260642	      0.282498	
109.000	      0.261595	      0.282497	
109.500	      0.262489	      0.282496	
110.000	      0.262489	      0.282496	
110.500	      0.263331	      0.282495	
111.000	      0.264124	      0.282494	
111.500	      0.264871	      0.282493	
112.000	      0.264871	      0.282493	
112.500	      0.265576	      0.282492	
113.000	      0.266243	       0.28249	
113.500	      0.266243	       0.28249	
114.000	      0.266873	      0.282488	
114.500	       0.26747	      0.282487	
115.000	      0.268036	      0.282485	
115.500	      0.268036	      0.282485	
116.000	      0.268573	      0.282482	
116.500	      0.269083	       0.28248	
117.000	      0.269083	       0.28248	
117.500	      0.269567	      0.282478	
118.000	      0.270028	      0.282475	
118.500	      0.270466	      0.282472	
119.000	      0.270466	      0.282472	
119.500	      0.270884	      0.282469	
120.000	      0.271283	      0.282466	
120.500	      0.271283	      0.282466	
121.000	      0.271663	      0.282463	
121.500	      0.272026	       0.28246	
122.000	      0.272373	      0.282456	
122.500	      0.272373	      0.282456	
123.000	      0.272704	      0.282452	
123.500	      0.273022	      0.282449	
124.000	      0.273022	      0.282449	
124.500	      0.273325	      0.282445	
125.000	      0.273616	       0.28244	
125.500	      0.273616	       0.28244	
126.000	      0.273895	      0.282436	
126.500	      0.274163	      0.282431	
127.000	       0.27442	      0.282427	
127.500	       0.27442	      0.282427	
128.000	      0.274666	      0.282422	
128.500	      0.274903	      0.282417	
129.000	      0.274903	      0.282417	
129.500	       0.27513	      0.282412	
130.000	      0.275349	      0.282406	
130.500	       0.27556	      0.282401	
131.000	       0.27556	      0.282401	
131.500	      0.275763	      0.282395	
132.000	      0.275958	      0.282389	
132.500	      0.275958	      0.282389	
133.000	      0.276146	      0.282383	
133.500	      0.276327	      0.282376	
134.000	      0.276502	       0.28237	
134.500	      0.276502	       0.28237	
135.000	       0.27667	      0.282363	
135.500	      0.276833	      0.282356	
136.000	      0.276833	      0.282356	
136.500	       0.27699	      0.282349	
137.000	      0.277142	      0.282342	
137.500	      0.277289	      0.282335	
138.000	      0.277289	      0.282335	
138.500	       0.27743	      0.282327	
139.000	      0.277567	      0.282319	
139.500	      0.277567	      0.282319	
140.000	        0.2777	      0.282311	
140.500	      0.277828	      0.282303	
141.000	      0.277952	      0.282294	
141.500	      0.277952	      0.282294	
142.000	      0.278073	      0.282286	
142.500	      0.278189	      0.282277	
143.000	      0.278189	      0.282277	
143.500	      0.278302	      0.282267	
144.000	      0.278411	      0.282258	
144.500	      0.278517	      0.282248	
145.000	      0.278517	      0.282248	
145.500	       0.27862	      0.282239	
146.000	       0.27872	      0.282229	
146.500	       0.27872	      0.282229	
147.000	      0.278817	      0.282218	
147.500	       0.27891	      0.282208	
148.000	       0.27891	      0.282208	
148.500	      0.279002	      0.282197	
149.000	       0.27909	      0.282186	
149.500	      0.279176	      0.282174	
150.000	      0.279176	      0.282174	
150.500	       0.27926	      0.282163	
151.000	      0.279341	      0.282151	
151.500	      0.279341	      0.282151	
152.000	       0.27942	      0.282139	
152.500	      0.279497	      0.282127	
153.000	      0.279571	      0.282114	
153.500	      0.279571	      0.282114	
154.000	      0.279644	      0.282101	
154.500	      0.279715	      0.282088	
155.000	      0.279715	      0.282088	
155.500	      0.279783	      0.282074	
156.000	       0.27985	      0.282061	
156.500	      0.279915	      0.282046	
157.000	      0.279915	      0.282046	
157.500	      0.279979	      0.282032	
158.000	       0.28004	      0.282017	
158.500	       0.28004	      0.282017	
159.000	      0.280101	      0.282002	
159.500	      0.280159	      0.281987	
160.000	      0.280216	      0.281971	
160.500	      0.280216	      0.281971	
161.000	      0.280272	      0.281955	
161.500	      0.280326	      0.281939	
162.000	      0.280326	      0.281939	
162.500	      0.280379	      0.281922	
163.000	      0.280431	      0.281905	
163.500	      0.280481	      0.281887	
164.000	      0.280481	      0.281887	
164.500	       0.28053	      0.281869	
165.000	      0.280578	      0.281851	
165.500	      0.280578	      0.281851	
166.000	      0.280625	      0.281832	
166.500	      0.280671	      0.281813	
167.000	      0.280715	      0.281794	
167.500	      0.280715	      0.281794	
168.000	      0.280759	      0.281774	
168.500	      0.280801	      0.281754	
169.000	      0.280801	      0.281754	
169.500	      0.280842	      0.281733	
170.000	      0.280883	      0.281712	
170.500	      0.280883	      0.281712	
171.000	      0.280922	       0.28169	
171.500	      0.280961	      0.281668	
172.000	      0.280999	      0.281645	
172.500	      0.280999	      0.281645	
173.000	      0.281036	      0.281622	
173.500	      0.281072	      0.281599	
174.000	      0.281072	      0.281599	
174.500	      0.281107	      0.281574	
175.000	      0.281141	       0.28155	
175.500	      0.281175	      0.281525	
176.000	      0.281175	      0.281525	
176.500	      0.281208	      0.281499	
177.000	       0.28124	      0.281473	
177.500	       0.28124	      0.281473	
178.000	      0.281271	      0.281446	
178.500	      0.281302	      0.281418	
179.000	      0.281332	       0.28139	
179.500	      0.281332	       0.28139	
180.000	      0.281361	      0.281361	
