s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
0.7997,0.3440,73.3461,0.7884,0.5527,0.4714,0.0000,0.0000,0.0000,0.0000,8,offspring,9,7
0.4414,0.3807,73.1886,0.5184,0.2900,0.3857,0.0000,0.0000,0.0000,0.0000,8,offspring,1,6
0.9000,0.9000,68.4457,4.4636,0.7546,3.8513,0.0000,0.0000,0.0000,0.0000,8,offspring,1,2
0.9000,0.9000,74.6715,3.1073,0.5943,0.8282,0.0000,0.0000,0.0000,0.0000,8,offspring,2,3
0.9000,0.7790,72.7134,0.6592,0.2384,0.8932,0.0000,0.0000,0.0000,0.0000,8,offspring,4,3
0.4243,0.3000,74.0359,1.5603,0.2453,0.8635,0.0000,0.0000,0.0000,0.0000,8,offspring,2,9
0.7882,0.4543,72.3193,0.2316,0.3575,0.5002,0.0000,0.0000,0.0000,0.0000,8,offspring,7,1
0.7638,0.3623,71.9736,1.1742,0.4478,1.4787,0.0000,0.0000,0.0000,0.0000,8,offspring,9,8
0.5513,0.4182,71.2585,4.4197,1.4825,1.4790,0.0000,0.0000,0.0000,0.0000,8,offspring,4,2
0.9000,0.8112,71.1722,0.2319,0.2707,0.4269,0.0000,0.0000,0.0000,0.0000,8,offspring,1,8
0.4217,0.3366,75.5463,1.1914,0.1358,2.9577,0.0000,0.0000,0.0000,0.0000,8,offspring,7,5
0.7927,0.3000,76.4642,1.2378,0.3442,1.6470,0.0000,0.0000,0.0000,0.0000,8,offspring,6,0
0.7518,0.5238,75.7916,0.9865,0.1648,2.2817,0.0000,0.0000,0.0000,0.0000,8,offspring,5,3
0.3069,0.3000,73.6994,3.2782,0.0854,0.5431,0.0000,0.0000,0.0000,0.0000,8,offspring,6,5
0.6313,0.4574,73.6036,0.5103,0.1212,0.3865,0.0000,0.0000,0.0000,0.0000,8,offspring,3,7
0.5995,0.3000,73.5265,3.5181,0.6937,2.5489,0.0000,0.0000,0.0000,0.0000,8,offspring,1,5
0.6449,0.4998,74.5212,1.1595,0.5940,1.7437,0.0000,0.0000,0.0000,0.0000,8,offspring,4,7
0.9000,0.5468,73.4617,2.7076,0.1423,0.4559,0.0000,0.0000,0.0000,0.0000,8,offspring,8,2
0.7855,0.7632,74.2296,0.4517,0.3890,0.6367,0.0000,0.0000,0.0000,0.0000,8,offspring,7,9
0.6948,0.3984,74.2478,0.3981,0.0579,0.0676,0.0000,0.0000,0.0000,0.0000,8,offspring,7,0
0.8537,0.8014,71.7853,0.4831,0.6900,0.8544,0.0000,0.0000,0.0000,0.0000,8,offspring,8,4
0.6405,0.4449,72.6722,2.1846,0.2473,1.6431,0.0000,0.0000,0.0000,0.0000,8,offspring,5,8
0.8721,0.7361,73.5889,0.2556,0.2435,0.2811,0.0000,0.0000,0.0000,0.0000,8,offspring,7,6
0.8503,0.4828,74.5352,1.8071,0.2458,0.3390,0.0000,0.0000,0.0000,0.0000,8,offspring,2,6
0.9000,0.7496,70.9491,1.1604,0.3229,1.3869,0.0000,0.0000,0.0000,0.0000,8,offspring,8,7
0.7856,0.3931,73.3617,0.6926,0.3060,0.4048,0.0000,0.0000,0.0000,0.0000,8,offspring,1,7
0.9000,0.4096,73.8948,4.8795,0.4127,1.1269,0.0000,0.0000,0.0000,0.0000,8,offspring,0,2
0.7059,0.3000,75.9676,1.8500,0.1421,1.4655,0.0000,0.0000,0.0000,0.0000,8,offspring,3,2
0.6868,0.3000,73.5796,0.8763,0.3095,0.9328,0.0000,0.0000,0.0000,0.0000,8,offspring,7,1
0.3101,0.3000,75.4817,4.1490,0.1207,1.7472,0.0000,0.0000,0.0000,0.0000,8,offspring,2,5
0.9000,0.5340,72.6715,0.9325,1.0732,0.8038,0.0000,0.0000,0.0000,0.0000,8,offspring,7,8
0.9000,0.4133,73.3638,2.0500,0.9254,1.2308,0.0000,0.0000,0.0000,0.0000,8,offspring,1,0
0.6516,0.4702,72.0730,0.5069,0.1959,0.1715,0.0000,0.0000,0.0000,0.0000,8,offspring,1,8
0.4873,0.3355,72.3395,0.6815,0.6183,0.3462,0.0000,0.0000,0.0000,0.0000,8,offspring,8,7
0.7788,0.7029,72.5959,0.5791,0.2127,0.4895,0.0000,0.0000,0.0000,0.0000,8,offspring,2,8
0.4301,0.4211,74.4368,4.1326,0.1055,1.3974,0.0000,0.0000,0.0000,0.0000,8,offspring,5,3
0.6225,0.5514,72.3313,0.2480,0.1783,0.4245,0.0000,0.0000,0.0000,0.0000,8,offspring,8,4
0.4332,0.3590,75.9448,1.5828,0.1098,1.3714,0.0000,0.0000,0.0000,0.0000,8,offspring,2,0
0.6329,0.3000,73.6341,1.0333,1.1042,1.1972,0.0000,0.0000,0.0000,0.0000,8,offspring,9,0
