
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 15:19:19 September 06, 2025

	   0.0	 180.0
0.000	             0	             0	
0.321	             0	             0	
0.643	             0	             0	
0.964	             0	             0	
1.286	             0	             0	
1.607	             0	             0	
1.929	      0.924235	             0	
2.250	      0.924235	             0	
2.571	      0.921067	             0	
2.893	      0.921067	             0	
3.214	       1.83701	             0	
3.536	       1.83701	             0	
3.857	       1.83701	             0	
4.179	      0.138295	      0.917257	
4.500	      0.138295	      0.917257	
4.821	             0	       5.48831	
5.143	             0	       5.48831	
5.464	       1.10197	      0.911472	
5.786	       1.10197	      0.911472	
6.107	             0	             0	
6.429	             0	             0	
6.750	             0	       1.04288	
7.071	             0	       1.04288	
7.393	             0	      0.417041	
7.714	             0	      0.417041	
8.036	             0	      0.417041	
8.357	             0	             0	
8.679	             0	             0	
9.000	             0	       1.65546	
9.321	             0	       1.65546	
9.643	             0	             0	
9.964	             0	             0	
10.286	       1.67483	             0	
10.607	       1.67483	             0	
10.929	      0.703252	      0.840895	
11.250	      0.703252	      0.840895	
11.571	      0.703252	      0.840895	
11.893	       3.56499	      0.166863	
12.214	       3.56499	      0.166863	
12.536	       1.60549	             0	
12.857	       1.60549	             0	
13.179	        1.4028	             0	
13.500	        1.4028	             0	
13.821	      0.855564	       3.23113	
14.143	      0.855564	       3.23113	
14.464	             0	             0	
14.786	             0	             0	
15.107	             0	             0	
15.429	             0	             0	
15.750	             0	             0	
16.071	      0.933961	             0	
16.393	      0.933961	             0	
16.714	             0	             0	
17.036	             0	             0	
17.357	             0	             0	
17.679	             0	             0	
18.000	      0.854758	        119.35	
18.321	      0.854758	        119.35	
18.643	      0.830176	             0	
18.964	      0.830176	             0	
19.286	      0.830176	             0	
19.607	             0	        1.7341	
19.929	             0	        1.7341	
20.250	             0	       1.32873	
20.571	             0	       1.32873	
20.893	             0	             0	
21.214	             0	             0	
21.536	             0	             0	
21.857	             0	             0	
22.179	       1.09605	             0	
22.500	       1.09605	             0	
22.821	       1.09605	             0	
23.143	       1.80887	       2.76757	
23.464	       1.80887	       2.76757	
23.786	             0	      0.640367	
24.107	             0	      0.640367	
24.429	         2.476	       1.47687	
24.750	         2.476	       1.47687	
25.071	             0	      0.666355	
25.393	             0	      0.666355	
25.714	      0.776156	             0	
26.036	      0.776156	             0	
26.357	      0.776156	             0	
26.679	      0.590442	       4.95164	
27.000	      0.590442	       4.95164	
27.321	             0	      0.105408	
27.643	             0	      0.105408	
27.964	       1.49574	       1.16136	
28.286	       1.49574	       1.16136	
28.607	      0.936226	      0.970798	
28.929	      0.936226	      0.970798	
29.250	      0.937162	             0	
29.571	      0.937162	             0	
29.893	             0	       1.03879	
30.214	             0	       1.03879	
30.536	             0	       1.03879	
30.857	             0	             0	
31.179	             0	             0	
31.500	      0.851399	      0.462156	
31.821	      0.851399	      0.462156	
32.143	       1.89448	      0.598328	
32.464	       1.89448	      0.598328	
32.786	      0.948493	             0	
33.107	      0.948493	             0	
33.429	       1.24718	     0.0566095	
33.750	       1.24718	     0.0566095	
34.071	       1.24718	     0.0566095	
34.393	             0	             0	
34.714	             0	             0	
35.036	             0	      0.053867	
35.357	             0	      0.053867	
35.679	       1.80272	             0	
36.000	       1.80272	             0	
36.321	       2.77204	      0.379577	
36.643	       2.77204	      0.379577	
36.964	      0.635585	      0.560831	
37.286	      0.635585	      0.560831	
37.607	      0.635585	      0.560831	
37.929	       6.59847	             0	
38.250	       6.59847	             0	
38.571	        1.8447	             0	
38.893	        1.8447	             0	
39.214	      0.688473	      0.279589	
39.536	      0.688473	      0.279589	
39.857	       4.55511	             0	
40.179	       4.55511	             0	
40.500	         3.123	             0	
40.821	         3.123	             0	
41.143	       6.17506	     0.0525811	
41.464	       6.17506	     0.0525811	
41.786	       6.17506	     0.0525811	
42.107	      0.943731	      0.800404	
42.429	      0.943731	      0.800404	
42.750	             0	       0.13614	
43.071	             0	       0.13614	
43.393	       1.92801	      0.104687	
43.714	       1.92801	      0.104687	
44.036	             0	             0	
44.357	             0	             0	
44.679	       4.15837	             0	
45.000	       4.15837	             0	
45.321	       4.15837	             0	
45.643	       3.97941	             0	
45.964	       3.97941	             0	
46.286	       2.88069	             0	
46.607	       2.88069	             0	
46.929	       2.18334	             0	
47.250	       2.18334	             0	
47.571	       1.08704	             0	
47.893	       1.08704	             0	
48.214	       1.08182	             0	
48.536	       1.08182	             0	
48.857	       1.08182	             0	
49.179	      0.217195	             0	
49.500	      0.217195	             0	
49.821	       2.89356	             0	
50.143	       2.89356	             0	
50.464	             0	             0	
50.786	             0	             0	
51.107	       2.90044	             0	
51.429	       2.90044	             0	
51.750	       1.93385	             0	
52.071	       1.93385	             0	
52.393	       7.73921	             0	
52.714	       7.73921	             0	
53.036	       7.73921	             0	
53.357	        1.9358	             0	
53.679	        1.9358	             0	
54.000	       2.90585	             0	
54.321	       2.90585	             0	
54.643	       11.6261	             0	
54.964	       11.6261	             0	
55.286	        3.8768	             0	
55.607	        3.8768	             0	
55.929	       1.03318	     0.0605027	
56.250	       1.03318	     0.0605027	
56.571	       1.03318	     0.0605027	
56.893	       15.5144	             0	
57.214	       15.5144	             0	
57.536	        602.28	      0.216335	
57.857	        602.28	      0.216335	
58.179	      0.925647	     0.0561907	
58.500	      0.925647	     0.0561907	
58.821	     0.0535121	             0	
59.143	     0.0535121	             0	
59.464	     0.0514969	             0	
59.786	     0.0514969	             0	
60.107	     0.0514969	             0	
60.429	             0	             0	
60.750	             0	             0	
61.071	             0	     0.0512544	
61.393	             0	     0.0512544	
61.714	             0	             0	
62.036	             0	             0	
62.357	       1.72267	             0	
62.679	       1.72267	             0	
63.000	      0.866041	             0	
63.321	      0.866041	             0	
63.643	       3.48127	             0	
63.964	       3.48127	             0	
64.286	       3.48127	             0	
64.607	      0.875215	      0.111816	
64.929	      0.875215	      0.111816	
65.250	       93.8295	      0.253359	
65.571	       93.8295	      0.253359	
65.893	             0	     0.0725232	
66.214	             0	     0.0725232	
66.536	      0.555768	             0	
66.857	      0.555768	             0	
67.179	       1.86921	             0	
67.500	       1.86921	             0	
67.821	       1.86921	             0	
68.143	       1.06476	      0.294259	
68.464	       1.06476	      0.294259	
68.786	             0	             0	
69.107	             0	             0	
69.429	      0.385511	      0.121932	
69.750	      0.385511	      0.121932	
70.071	             0	             0	
70.393	             0	             0	
70.714	      0.865725	             0	
71.036	      0.865725	             0	
71.357	      0.865725	             0	
71.679	      0.960479	      0.112956	
72.000	      0.960479	      0.112956	
72.321	             0	             0	
72.643	             0	             0	
72.964	             0	             0	
73.286	             0	             0	
73.607	             0	             0	
73.929	             0	             0	
74.250	      0.633716	     0.0999687	
74.571	      0.633716	     0.0999687	
74.893	       0.19536	             0	
75.214	       0.19536	             0	
75.536	       0.19536	             0	
75.857	      0.681973	             0	
76.179	      0.681973	             0	
76.500	      0.166697	             0	
76.821	      0.166697	             0	
77.143	       1.50238	     0.0580702	
77.464	       1.50238	     0.0580702	
77.786	      0.301991	     0.0542736	
78.107	      0.301991	     0.0542736	
78.429	        1.0207	             0	
78.750	        1.0207	             0	
79.071	        1.0207	             0	
79.393	      0.149687	             0	
79.714	      0.149687	             0	
80.036	      0.693562	             0	
80.357	      0.693562	             0	
80.679	      0.515876	             0	
81.000	      0.515876	             0	
81.321	             0	             0	
81.643	             0	             0	
81.964	             0	             0	
82.286	             0	             0	
82.607	             0	             0	
82.929	      0.258812	             0	
83.250	      0.258812	             0	
83.571	      0.112788	             0	
83.893	      0.112788	             0	
84.214	             0	             0	
84.536	             0	             0	
84.857	      0.164671	             0	
85.179	      0.164671	             0	
85.500	             0	             0	
85.821	             0	             0	
86.143	      0.277075	             0	
86.464	      0.277075	             0	
86.786	      0.277075	             0	
87.107	      0.119302	             0	
87.429	      0.119302	             0	
87.750	     0.0578753	             0	
88.071	     0.0578753	             0	
88.393	     0.0539108	             0	
88.714	     0.0539108	             0	
89.036	             0	             0	
89.357	             0	             0	
89.679	             0	             0	
90.000	             0	             0	
90.321	             0	             0	
90.643	             0	             0	
90.964	             0	             0	
91.286	             0	             0	
91.607	             0	             0	
91.929	             0	             0	
92.250	             0	             0	
92.571	             0	             0	
92.893	             0	             0	
93.214	             0	             0	
93.536	             0	             0	
93.857	             0	             0	
94.179	             0	             0	
94.500	             0	             0	
94.821	             0	             0	
95.143	             0	             0	
95.464	             0	             0	
95.786	             0	             0	
96.107	             0	             0	
96.429	             0	             0	
96.750	             0	             0	
97.071	             0	             0	
97.393	             0	             0	
97.714	             0	             0	
98.036	             0	             0	
98.357	             0	             0	
98.679	             0	             0	
99.000	             0	             0	
99.321	             0	             0	
99.643	             0	             0	
99.964	             0	             0	
100.286	      0.622506	             0	
100.607	      0.622506	             0	
100.929	             0	             0	
101.250	             0	             0	
101.571	             0	             0	
101.893	             0	             0	
102.214	             0	             0	
102.536	             0	             0	
102.857	             0	             0	
103.179	             0	             0	
103.500	             0	             0	
103.821	             0	             0	
104.143	             0	             0	
104.464	             0	             0	
104.786	             0	             0	
105.107	             0	             0	
105.429	             0	             0	
105.750	             0	             0	
106.071	             0	             0	
106.393	             0	             0	
106.714	             0	             0	
107.036	             0	             0	
107.357	             0	             0	
107.679	             0	             0	
108.000	      0.671368	             0	
108.321	      0.671368	             0	
108.643	             0	             0	
108.964	             0	             0	
109.286	             0	             0	
109.607	             0	             0	
