
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 15:20:58 September 06, 2025

	   0.0	 180.0
0.000	             0	             0	
0.321	             0	             0	
0.643	             0	             0	
0.964	             0	             0	
1.286	             0	      0.128038	
1.607	             0	      0.128038	
1.929	             0	             0	
2.250	             0	             0	
2.571	             0	             0	
2.893	             0	             0	
3.214	       0.10922	             0	
3.536	       0.10922	             0	
3.857	       0.10922	             0	
4.179	             0	             0	
4.500	             0	             0	
4.821	      0.100734	             0	
5.143	      0.100734	             0	
5.464	             0	      0.130812	
5.786	             0	      0.130812	
6.107	      0.113069	             0	
6.429	      0.113069	             0	
6.750	             0	             0	
7.071	             0	             0	
7.393	             0	             0	
7.714	             0	             0	
8.036	             0	             0	
8.357	             0	             0	
8.679	             0	             0	
9.000	      0.118241	      0.115276	
9.321	      0.118241	      0.115276	
9.643	             0	      0.309528	
9.964	             0	      0.309528	
10.286	             0	      0.129364	
10.607	             0	      0.129364	
10.929	             0	     0.0997902	
11.250	             0	     0.0997902	
11.571	             0	     0.0997902	
11.893	             0	             0	
12.214	             0	             0	
12.536	             0	             0	
12.857	             0	             0	
13.179	      0.108408	             0	
13.500	      0.108408	             0	
13.821	      0.167676	             0	
14.143	      0.167676	             0	
14.464	      0.234178	      0.112823	
14.786	      0.234178	      0.112823	
15.107	      0.234178	      0.112823	
15.429	     0.0584979	             0	
15.750	     0.0584979	             0	
16.071	     0.0583217	             0	
16.393	     0.0583217	             0	
16.714	       0.35184	             0	
17.036	       0.35184	             0	
17.357	        0.1201	             0	
17.679	        0.1201	             0	
18.000	      0.121769	     0.0509517	
18.321	      0.121769	     0.0509517	
18.643	     0.0615487	     0.0498278	
18.964	     0.0615487	     0.0498278	
19.286	     0.0615487	     0.0498278	
19.607	      0.238151	             0	
19.929	      0.238151	             0	
20.250	             0	             0	
20.571	             0	             0	
20.893	             0	             0	
21.214	             0	             0	
21.536	     0.0632309	             0	
21.857	     0.0632309	             0	
22.179	             0	             0	
22.500	             0	             0	
22.821	             0	             0	
23.143	     0.0639338	      0.116554	
23.464	     0.0639338	      0.116554	
23.786	             0	             0	
24.107	             0	             0	
24.429	      0.129019	             0	
24.750	      0.129019	             0	
25.071	             0	      0.119563	
25.393	             0	      0.119563	
25.714	     0.0501192	             0	
26.036	     0.0501192	             0	
26.357	     0.0501192	             0	
26.679	       0.21571	             0	
27.000	       0.21571	             0	
27.321	      0.216423	             0	
27.643	      0.216423	             0	
27.964	      0.101219	             0	
28.286	      0.101219	             0	
28.607	       0.20656	             0	
28.929	       0.20656	             0	
29.250	     0.0509074	       9.82268	
29.571	     0.0509074	       9.82268	
29.893	      0.232601	      0.055518	
30.214	      0.232601	      0.055518	
30.536	      0.232601	      0.055518	
30.857	      0.167505	      0.111032	
31.179	      0.167505	      0.111032	
31.500	      0.102326	     0.0554598	
31.821	      0.102326	     0.0554598	
32.143	       0.51258	     0.0554139	
32.464	       0.51258	     0.0554139	
32.786	      0.153935	     0.0553047	
33.107	      0.153935	     0.0553047	
33.429	      0.102734	      0.470291	
33.750	      0.102734	      0.470291	
34.071	      0.102734	      0.470291	
34.393	     0.0513844	      0.276683	
34.714	     0.0513844	      0.276683	
35.036	      0.154185	      0.229595	
35.357	      0.154185	      0.229595	
35.679	             0	       4.11116	
36.000	             0	       4.11116	
36.321	             0	      0.560752	
36.643	             0	      0.560752	
36.964	             0	      0.487782	
37.286	             0	      0.487782	
37.607	             0	      0.487782	
37.929	             0	      0.158409	
38.250	             0	      0.158409	
38.571	             0	             0	
38.893	             0	             0	
39.214	             0	             0	
39.536	             0	             0	
39.857	             0	             0	
40.179	             0	             0	
40.500	             0	             0	
40.821	             0	             0	
41.143	             0	     0.0543172	
41.464	             0	     0.0543172	
41.786	             0	     0.0543172	
42.107	             0	             0	
42.429	             0	             0	
42.750	             0	             0	
43.071	             0	             0	
43.393	             0	             0	
43.714	             0	             0	
44.036	     0.0498617	             0	
44.357	     0.0498617	             0	
44.679	      0.106094	             0	
45.000	      0.106094	             0	
45.321	      0.106094	             0	
45.643	             0	             0	
45.964	             0	             0	
46.286	             0	             0	
46.607	             0	             0	
46.929	             0	             0	
47.250	             0	             0	
47.571	     0.0528463	             0	
47.893	     0.0528463	             0	
48.214	             0	             0	
48.536	             0	             0	
48.857	             0	             0	
49.179	             0	             0	
49.500	             0	             0	
49.821	             0	             0	
50.143	             0	             0	
50.464	             0	             0	
50.786	             0	             0	
51.107	             0	             0	
51.429	             0	             0	
51.750	             0	             0	
52.071	             0	             0	
52.393	       0.12345	             0	
52.714	       0.12345	             0	
53.036	       0.12345	             0	
53.357	             0	             0	
53.679	             0	             0	
54.000	             0	             0	
54.321	             0	             0	
54.643	             0	             0	
54.964	             0	             0	
55.286	             0	             0	
55.607	             0	             0	
55.929	             0	             0	
56.250	             0	             0	
56.571	             0	             0	
56.893	             0	             0	
57.214	             0	             0	
57.536	             0	             0	
57.857	             0	             0	
58.179	             0	             0	
58.500	             0	             0	
58.821	             0	             0	
59.143	             0	             0	
59.464	             0	             0	
59.786	             0	             0	
60.107	             0	             0	
60.429	             0	             0	
60.750	             0	             0	
61.071	       542.116	             0	
61.393	       542.116	             0	
61.714	      0.960313	             0	
62.036	      0.960313	             0	
62.357	        2.8881	             0	
62.679	        2.8881	             0	
63.000	      0.964204	             0	
63.321	      0.964204	             0	
63.643	       1.92997	             0	
63.964	       1.92997	             0	
64.286	       1.92997	             0	
64.607	       1.93314	             0	
64.929	       1.93314	             0	
65.250	             0	             0	
65.571	             0	             0	
65.893	       1.93567	             0	
66.214	       1.93567	             0	
66.536	        2.9065	             0	
66.857	        2.9065	             0	
67.179	       1.93828	             0	
67.500	       1.93828	             0	
67.821	       1.93828	             0	
68.143	       7.75644	             0	
68.464	       7.75644	             0	
68.786	       3.87979	             0	
69.107	       3.87979	             0	
69.429	      0.970146	             0	
69.750	      0.970146	             0	
70.071	       5.82259	             0	
70.393	       5.82259	             0	
70.714	       6.85622	             0	
71.036	       6.85622	             0	
71.357	       6.85622	             0	
71.679	       11.6486	             0	
72.000	       11.6486	             0	
72.321	             0	             0	
72.643	             0	             0	
72.964	      0.970831	             0	
73.286	      0.970831	             0	
73.607	       2.91268	             0	
73.929	       2.91268	             0	
74.250	       4.85458	             0	
74.571	       4.85458	             0	
74.893	       9.70928	             0	
75.214	       9.70928	             0	
75.536	       9.70928	             0	
75.857	       1.94187	             0	
76.179	       1.94187	             0	
76.500	       4.85472	             0	
76.821	       4.85472	             0	
77.143	       2.91284	             0	
77.464	       2.91284	             0	
77.786	       3.88381	             0	
78.107	       3.88381	             0	
78.429	       6.79669	             0	
78.750	       6.79669	             0	
79.071	       6.79669	             0	
79.393	       5.82573	             0	
79.714	       5.82573	             0	
80.036	       5.82571	             0	
80.357	       5.82571	             0	
80.679	       2.91282	             0	
81.000	       2.91282	             0	
81.321	       1.94185	             0	
81.643	       1.94185	             0	
81.964	        2.9126	             0	
82.286	        2.9126	             0	
82.607	        2.9126	             0	
82.929	       9.70819	             0	
83.250	       9.70819	             0	
83.571	       1.94146	             0	
83.893	       1.94146	             0	
84.214	       5.82325	             0	
84.536	       5.82325	             0	
84.857	       6.79258	             0	
85.179	       6.79258	             0	
85.500	        4.8503	             0	
85.821	        4.8503	             0	
86.143	       9.69754	             0	
86.464	       9.69754	             0	
86.786	       9.69754	             0	
87.107	       3.87781	             0	
87.429	       3.87781	             0	
87.750	       3.93425	             0	
88.071	       3.93425	             0	
88.393	       2.90516	             0	
88.714	       2.90516	             0	
89.036	      0.967203	             0	
89.357	      0.967203	             0	
89.679	       1.93331	             0	
90.000	       1.93331	             0	
90.321	       1.93331	             0	
90.643	       3.86143	             0	
90.964	       3.86143	             0	
91.286	       3.01007	             0	
91.607	       3.01007	             0	
91.929	             0	             0	
92.250	             0	             0	
92.571	       2.88385	             0	
92.893	       2.88385	             0	
93.214	       2.87968	             0	
93.536	       2.87968	             0	
93.857	       2.87968	             0	
94.179	        1.9142	             0	
94.500	        1.9142	             0	
94.821	      0.954356	             0	
95.143	      0.954356	             0	
95.464	             0	             0	
95.786	             0	             0	
96.107	             0	             0	
96.429	             0	             0	
96.750	             0	             0	
97.071	             0	             0	
97.393	       1.88321	             0	
97.714	       1.88321	             0	
98.036	       1.88321	             0	
98.357	             0	             0	
98.679	             0	             0	
99.000	      0.929986	             0	
99.321	      0.929986	             0	
99.643	      0.923462	             0	
99.964	      0.923462	             0	
100.286	             0	             0	
100.607	             0	             0	
100.929	       254.824	             0	
101.250	       254.824	             0	
101.571	       254.824	             0	
101.893	             0	             0	
102.214	             0	             0	
102.536	             0	             0	
102.857	             0	             0	
103.179	             0	             0	
103.500	             0	             0	
103.821	             0	             0	
104.143	             0	             0	
104.464	             0	             0	
104.786	             0	             0	
105.107	             0	             0	
105.429	             0	             0	
105.750	             0	             0	
106.071	             0	             0	
106.393	             0	             0	
106.714	             0	             0	
107.036	             0	             0	
107.357	             0	             0	
107.679	             0	             0	
108.000	             0	             0	
108.321	             0	             0	
108.643	             0	             0	
108.964	             0	             0	
109.286	             0	             0	
109.607	             0	             0	
109.929	             0	             0	
110.250	             0	             0	
110.571	             0	             0	
110.893	             0	             0	
111.214	             0	             0	
111.536	             0	             0	
111.857	             0	             0	
112.179	             0	             0	
112.500	             0	             0	
112.821	             0	             0	
113.143	             0	             0	
