
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 09:42:26 June 25, 2025

	   0.0	 180.0
0.000	    0.00315016	    0.00315016	
0.500	     0.0132435	      0.035438	
1.000	     0.0132435	      0.035438	
1.500	     0.0589733	      0.508275	
2.000	      0.561202	     0.0183899	
2.500	      0.060216	      0.119664	
3.000	      0.060216	      0.119664	
3.500	     0.0169198	       1.26226	
4.000	     0.0139295	      0.120505	
4.500	     0.0139295	      0.120505	
5.000	     0.0184354	     0.0169908	
5.500	      0.171076	      0.514282	
6.000	       1.05803	      0.030349	
6.500	       1.05803	      0.030349	
7.000	      0.125186	     0.0507106	
7.500	      0.283269	      0.875731	
8.000	      0.283269	      0.875731	
8.500	      0.555194	       1.51519	
9.000	    0.00721817	       1.10344	
9.500	      0.248306	       2.63041	
10.000	      0.248306	       2.63041	
10.500	       2.61639	      0.273048	
11.000	      0.251877	      0.855705	
11.500	      0.251877	      0.855705	
12.000	     0.0453335	       1.70125	
12.500	     0.0168696	       1.62398	
13.000	     0.0168696	       1.62398	
13.500	    0.00702446	     0.0695946	
14.000	    0.00227917	      0.132876	
14.500	   0.000530788	         1.546	
15.000	   0.000530788	         1.546	
15.500	    0.00249628	       2.66964	
16.000	    0.00413122	       2.97109	
16.500	    0.00413122	       2.97109	
17.000	    0.00583009	       2.65277	
17.500	    0.00825432	       1.07792	
18.000	     0.0138148	       0.17035	
18.500	     0.0138148	       0.17035	
19.000	     0.0500942	      0.127463	
19.500	      0.443865	      0.143935	
20.000	      0.443865	      0.143935	
20.500	     0.0516523	       0.17224	
21.000	     0.0172271	      0.238116	
21.500	     0.0144342	      0.293008	
22.000	     0.0144342	      0.293008	
22.500	     0.0180316	       0.89535	
23.000	     0.0519109	      0.345505	
23.500	     0.0519109	      0.345505	
24.000	      0.415341	      0.506148	
24.500	     0.0591784	      0.700215	
25.000	     0.0216934	       1.01771	
25.500	     0.0216934	       1.01771	
26.000	     0.0861003	       1.60468	
26.500	      0.843314	       2.89111	
27.000	      0.843314	       2.89111	
27.500	      0.598827	       6.71994	
28.000	     0.0241356	       34.8042	
28.500	    0.00764498	       355.507	
29.000	    0.00764498	       355.507	
29.500	     0.0108938	       35.3956	
30.000	     0.0130618	       6.11344	
30.500	     0.0130618	       6.11344	
31.000	     0.0182638	       2.93731	
31.500	     0.0561409	       1.61317	
32.000	      0.472774	       1.02721	
32.500	      0.472774	       1.02721	
33.000	     0.0550032	      0.644528	
33.500	     0.0151515	      0.519535	
34.000	     0.0151515	      0.519535	
34.500	    0.00441608	      0.392174	
35.000	     0.0374407	      0.311235	
35.500	     0.0374407	      0.311235	
36.000	      0.504308	      0.195218	
36.500	      0.087047	      0.206204	
37.000	      0.835563	      0.168327	
37.500	      0.835563	      0.168327	
38.000	       1.36736	      0.141443	
38.500	      0.547454	      0.120374	
39.000	      0.547454	      0.120374	
