
NO.1-42data[10 22 25], 總效率 = 0.04, 各角度效率 = [0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-43data[ 7 22 17], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-44data[ 8  8 77], 總效率 = 2.87, 各角度效率 = [0.51, 0.43, 0.2, 0.24, 0.4, 0.09, 0.0, 1.0]
NO.1-45data[ 4  5 75], 總效率 = 3.17, 各角度效率 = [0.18, 0.1, 0.02, 0.0, 0.6, 0.68, 1.0, 0.59]
NO.1-46data[ 4 24 53], 總效率 = 0.29000000000000004, 各角度效率 = [0.28, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-47data[ 7 19 59], 總效率 = 1.7300000000000002, 各角度效率 = [0.64, 0.75, 0.29, 0.05, 0.0, 0.0, 0.0, 0.0]
NO.1-48data[ 1 27 83], 總效率 = 1.0, 各角度效率 = [0.55, 0.23, 0.22, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-49data[ 3 28 77], 總效率 = 0.83, 各角度效率 = [0.48, 0.22, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-50data[3 9 4], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-51data[ 2 24 79], 總效率 = 0.81, 各角度效率 = [0.45, 0.19, 0.17, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-52data[ 9 12 34], 總效率 = 1.69, 各角度效率 = [0.29, 0.25, 0.39, 0.59, 0.13, 0.04, 0.0, 0.0]
NO.1-53data[ 3 25 81], 總效率 = 1.28, 各角度效率 = [0.42, 0.53, 0.27, 0.06, 0.0, 0.0, 0.0, 0.0]
NO.1-54data[10  5 61], 總效率 = 0.7, 各角度效率 = [0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-55data[ 5 15 29], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-56data[ 9 11 10], 總效率 = 0.37, 各角度效率 = [0.21, 0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-57data[ 3  5 87], 總效率 = 2.2, 各角度效率 = [0.14, 0.07, 0.02, 0.29, 0.49, 0.55, 0.64, 0.0]
NO.1-58data[ 8 18 76], 總效率 = 4.88, 各角度效率 = [0.43, 0.94, 1.0, 0.43, 0.03, 0.84, 0.29, 0.92]
NO.1-59data[ 8  7 16], 總效率 = 1.52, 各角度效率 = [0.09, 0.05, 0.0, 0.0, 0.03, 0.68, 0.65, 0.02]
NO.1-60data[ 6 21 45], 總效率 = 0.79, 各角度效率 = [0.48, 0.31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-61data[ 4 23  2], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.1-62data[ 6 21 68], 總效率 = 1.69, 各角度效率 = [0.22, 0.39, 0.23, 0.85, 0.0, 0.0, 0.0, 0.0]
NO.1-63data[10 19 48], 總效率 = 2.0, 各角度效率 = [0.34, 0.88, 0.58, 0.12, 0.07, 0.01, 0.0, 0.0]
NO.1-64data[ 2  2 81], 總效率 = 0.44, 各角度效率 = [0.14, 0.11, 0.05, 0.0, 0.0, 0.0, 0.14, 0.0]
NO.1-65data[ 6 21 82], 總效率 = 2.77, 各角度效率 = [0.3, 0.39, 0.48, 0.5, 1.0, 0.02, 0.08, 0.0]
NO.1-66data[ 3 17 51], 總效率 = 0.05, 各角度效率 = [0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
