
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 07:44:38 September 07, 2025

	   0.0	 180.0
0.000	     0.0655812	     0.0655812	
0.321	     0.0655812	     0.0655812	
0.643	             0	      0.887903	
0.964	             0	      0.887903	
1.286	      0.241268	       1.78207	
1.607	      0.241268	       1.78207	
1.929	             0	       1.79173	
2.250	             0	       1.79173	
2.571	      0.763366	       1.00374	
2.893	      0.763366	       1.00374	
3.214	       1.71061	             0	
3.536	       1.71061	             0	
3.857	       1.71061	             0	
4.179	       1.69848	       2.75697	
4.500	       1.69848	       2.75697	
4.821	        3.5233	       5.70843	
5.143	        3.5233	       5.70843	
5.464	             0	      0.915118	
5.786	             0	      0.915118	
6.107	             0	      0.162299	
6.429	             0	      0.162299	
6.750	       2.88463	      0.916999	
7.071	       2.88463	      0.916999	
7.393	       2.10366	       13.0801	
7.714	       2.10366	       13.0801	
8.036	       2.10366	       13.0801	
8.357	       1.07344	       1.85027	
8.679	       1.07344	       1.85027	
9.000	       4.92123	       3.85163	
9.321	       4.92123	       3.85163	
9.643	       2.17418	       2.85807	
9.964	       2.17418	       2.85807	
10.286	       1.69101	       4.53321	
10.607	       1.69101	       4.53321	
10.929	       4.09102	       1.77489	
11.250	       4.09102	       1.77489	
11.571	       4.09102	       1.77489	
11.893	       5.15394	       1.70901	
12.214	       5.15394	       1.70901	
12.536	       3.39469	       6.97722	
12.857	       3.39469	       6.97722	
13.179	       4.54039	       2.84562	
13.500	       4.54039	       2.84562	
13.821	       0.17541	       9.44769	
14.143	       0.17541	       9.44769	
14.464	      0.524153	       5.49945	
14.786	      0.524153	       5.49945	
15.107	      0.524153	       5.49945	
15.429	      0.872847	       8.99944	
15.750	      0.872847	       8.99944	
16.071	      0.821777	       8.13435	
16.393	      0.821777	       8.13435	
16.714	       1.34343	       8.72857	
17.036	       1.34343	       8.72857	
17.357	             0	       3.79286	
17.679	             0	       3.79286	
18.000	       1.87525	       5.48263	
18.321	       1.87525	       5.48263	
18.643	      0.886854	       4.64165	
18.964	      0.886854	       4.64165	
19.286	      0.886854	       4.64165	
19.607	       4.92371	       13.8598	
19.929	       4.92371	       13.8598	
20.250	             0	        293.95	
20.571	             0	        293.95	
20.893	             0	       3.57006	
21.214	             0	       3.57006	
21.536	       1.40316	       1.70689	
21.857	       1.40316	       1.70689	
22.179	       4.79702	      0.883653	
22.500	       4.79702	      0.883653	
22.821	       4.79702	      0.883653	
23.143	       3.07816	       3.16944	
23.464	       3.07816	       3.16944	
23.786	             0	       2.49812	
24.107	             0	       2.49812	
24.429	             0	        3.3203	
24.750	             0	        3.3203	
25.071	       1.83488	       3.47883	
25.393	       1.83488	       3.47883	
25.714	             0	       11.4377	
26.036	             0	       11.4377	
26.357	             0	       11.4377	
26.679	             0	        3.2947	
27.000	             0	        3.2947	
27.321	       1.50012	         7.403	
27.643	       1.50012	         7.403	
27.964	      0.733567	       13.4449	
28.286	      0.733567	       13.4449	
28.607	      0.740437	       5.87849	
28.929	      0.740437	       5.87849	
29.250	             0	       4.89489	
29.571	             0	       4.89489	
29.893	      0.124085	        3.9362	
30.214	      0.124085	        3.9362	
30.536	      0.124085	        3.9362	
30.857	       1.08884	       2.06544	
31.179	       1.08884	       2.06544	
31.500	       0.78298	        2.5345	
31.821	       0.78298	        2.5345	
32.143	       4.61432	             0	
32.464	       4.61432	             0	
32.786	      0.602428	        52.391	
33.107	      0.602428	        52.391	
33.429	             0	       1.67084	
33.750	             0	       1.67084	
34.071	             0	       1.67084	
34.393	             0	       1.42204	
34.714	             0	       1.42204	
35.036	             0	             0	
35.357	             0	             0	
35.679	      0.601703	             0	
36.000	      0.601703	             0	
36.321	       1.37269	      0.805822	
36.643	       1.37269	      0.805822	
36.964	      0.168595	       1.66656	
37.286	      0.168595	       1.66656	
37.607	      0.168595	       1.66656	
37.929	      0.171647	     0.0720561	
38.250	      0.171647	     0.0720561	
38.571	      0.816639	             0	
38.893	      0.816639	             0	
39.214	             0	             0	
39.536	             0	             0	
39.857	       1.03469	     0.0609911	
40.179	       1.03469	     0.0609911	
40.500	        1.6841	             0	
40.821	        1.6841	             0	
41.143	       1.89718	      0.281057	
41.464	       1.89718	      0.281057	
41.786	       1.89718	      0.281057	
42.107	         3.855	      0.472084	
42.429	         3.855	      0.472084	
42.750	     0.0625098	      0.173682	
43.071	     0.0625098	      0.173682	
43.393	       5.78415	             0	
43.714	       5.78415	             0	
44.036	        4.7902	             0	
44.357	        4.7902	             0	
44.679	       5.63803	             0	
45.000	       5.63803	             0	
45.321	       5.63803	             0	
45.643	      0.935274	      0.576671	
45.964	      0.935274	      0.576671	
46.286	       2.00863	             0	
46.607	       2.00863	             0	
46.929	       5.65167	      0.434859	
47.250	       5.65167	      0.434859	
47.571	         0.505	     0.0528641	
47.893	         0.505	     0.0528641	
48.214	       0.96653	             0	
48.536	       0.96653	             0	
48.857	       0.96653	             0	
49.179	       3.73694	             0	
49.500	       3.73694	             0	
49.821	       4.70127	             0	
50.143	       4.70127	             0	
50.464	        13.331	             0	
50.786	        13.331	             0	
51.107	       7.48804	             0	
51.429	       7.48804	             0	
51.750	       4.71714	             0	
52.071	       4.71714	             0	
52.393	       6.68389	             0	
52.714	       6.68389	             0	
53.036	       6.68389	             0	
53.357	        2.8142	      0.301952	
53.679	        2.8142	      0.301952	
54.000	       3.76203	             0	
54.321	       3.76203	             0	
54.643	       9.20419	             0	
54.964	       9.20419	             0	
55.286	       3.73989	             0	
55.607	       3.73989	             0	
55.929	       7.53871	             0	
56.250	       7.53871	             0	
56.571	       7.53871	             0	
56.893	       9.68558	     0.0636677	
57.214	       9.68558	     0.0636677	
57.536	       3.28684	             0	
57.857	       3.28684	             0	
58.179	       2.90823	             0	
58.500	       2.90823	             0	
58.821	       6.78703	      0.448713	
59.143	       6.78703	      0.448713	
59.464	       8.72895	             0	
59.786	       8.72895	             0	
60.107	       8.72895	             0	
60.429	       19.0157	             0	
60.750	       19.0157	             0	
61.071	       6.69155	             0	
61.393	       6.69155	             0	
61.714	       1.94064	             0	
62.036	       1.94064	             0	
62.357	       11.2393	             0	
62.679	       11.2393	             0	
63.000	       8.73365	             0	
63.321	       8.73365	             0	
63.643	       21.3523	             0	
63.964	       21.3523	             0	
64.286	       21.3523	             0	
64.607	       10.6767	      0.168315	
64.929	       10.6767	      0.168315	
65.250	       7.33112	             0	
65.571	       7.33112	             0	
65.893	       7.08867	             0	
66.214	       7.08867	             0	
66.536	       8.73573	             0	
66.857	       8.73573	             0	
67.179	       4.34488	             0	
67.500	       4.34488	             0	
67.821	       4.34488	             0	
68.143	       14.9095	        0.2798	
