
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 08:09:09 September 07, 2025

	   0.0	 180.0
0.000	             0	             0	
0.321	             0	             0	
0.643	             0	             0	
0.964	             0	             0	
1.286	             0	             0	
1.607	             0	             0	
1.929	             0	             0	
2.250	             0	             0	
2.571	      0.059488	             0	
2.893	      0.059488	             0	
3.214	       0.11315	     0.0564089	
3.536	       0.11315	     0.0564089	
3.857	       0.11315	     0.0564089	
4.179	      0.059488	             0	
4.500	      0.059488	             0	
4.821	             0	      0.225379	
5.143	             0	      0.225379	
5.464	      0.171816	             0	
5.786	      0.171816	             0	
6.107	      0.223975	      0.112805	
6.429	      0.223975	      0.112805	
6.750	             0	     0.0564002	
7.071	             0	     0.0564002	
7.393	      0.115657	             0	
7.714	      0.115657	             0	
8.036	      0.115657	             0	
8.357	     0.0559374	     0.0508308	
8.679	     0.0559374	     0.0508308	
9.000	       0.22942	             0	
9.321	       0.22942	             0	
9.643	             0	             0	
9.964	             0	             0	
10.286	             0	      0.337868	
10.607	             0	      0.337868	
10.929	     0.0555977	      0.231547	
11.250	     0.0555977	      0.231547	
11.571	     0.0555977	      0.231547	
11.893	      0.118974	             0	
12.214	      0.118974	             0	
12.536	     0.0558046	             0	
12.857	     0.0558046	             0	
13.179	      0.331919	     0.0579349	
13.500	      0.331919	     0.0579349	
13.821	      0.223629	             0	
14.143	      0.223629	             0	
14.464	      0.162418	     0.0577416	
14.786	      0.162418	     0.0577416	
15.107	      0.162418	     0.0577416	
15.429	             0	      0.115876	
15.750	             0	      0.115876	
16.071	             0	      0.103769	
16.393	             0	      0.103769	
16.714	             0	     0.0594839	
17.036	             0	     0.0594839	
17.357	             0	             0	
17.679	             0	             0	
18.000	      0.212804	      0.161678	
18.321	      0.212804	      0.161678	
18.643	     0.0520801	       0.23158	
18.964	     0.0520801	       0.23158	
19.286	     0.0520801	       0.23158	
19.607	      0.420597	      0.166561	
19.929	      0.420597	      0.166561	
20.250	             0	      0.115742	
20.571	             0	      0.115742	
20.893	      0.106563	      0.110015	
21.214	      0.106563	      0.110015	
21.536	      0.107231	      0.118979	
21.857	      0.107231	      0.118979	
22.179	      0.215807	       0.11001	
22.500	      0.215807	       0.11001	
22.821	      0.215807	       0.11001	
23.143	      0.270638	      0.577389	
23.464	      0.270638	      0.577389	
23.786	      0.161349	      0.230765	
24.107	      0.161349	      0.230765	
24.429	     0.0544819	      0.456128	
24.750	     0.0544819	      0.456128	
25.071	      0.327224	      0.160044	
25.393	      0.327224	      0.160044	
25.714	             0	             0	
26.036	             0	             0	
26.357	             0	             0	
26.679	      0.166096	      0.104228	
27.000	      0.166096	      0.104228	
27.321	      0.109372	     0.0549377	
27.643	      0.109372	     0.0549377	
27.964	      0.218273	      0.327373	
28.286	      0.218273	      0.327373	
28.607	             0	      0.053067	
28.929	             0	      0.053067	
29.250	             0	             0	
29.571	             0	             0	
29.893	             0	     0.0538336	
30.214	             0	     0.0538336	
30.536	             0	     0.0538336	
30.857	             0	             0	
31.179	             0	             0	
31.500	             0	             0	
31.821	             0	             0	
32.143	             0	     0.0518584	
32.464	             0	     0.0518584	
32.786	     0.0580814	      0.107295	
33.107	     0.0580814	      0.107295	
33.429	             0	             0	
33.750	             0	             0	
34.071	             0	             0	
34.393	     0.0583616	             0	
34.714	     0.0583616	             0	
35.036	     0.0584143	             0	
35.357	     0.0584143	             0	
35.679	             0	             0	
36.000	             0	             0	
36.321	     0.0586009	             0	
36.643	     0.0586009	             0	
36.964	             0	      0.103131	
37.286	             0	      0.103131	
37.607	             0	      0.103131	
37.929	      0.234835	             0	
38.250	      0.234835	             0	
38.571	             0	      0.102874	
38.893	             0	      0.102874	
39.214	             0	     0.0513917	
39.536	             0	     0.0513917	
39.857	             0	             0	
40.179	             0	             0	
40.500	     0.0589025	             0	
40.821	     0.0589025	             0	
41.143	      0.112473	             0	
41.464	      0.112473	             0	
41.786	      0.112473	             0	
42.107	             0	             0	
42.429	             0	             0	
42.750	             0	             0	
43.071	             0	             0	
43.393	      0.100555	             0	
43.714	      0.100555	             0	
44.036	       124.533	             0	
44.357	       124.533	             0	
44.679	       1.62179	             0	
45.000	       1.62179	             0	
45.321	       1.62179	             0	
45.643	     0.0591658	             0	
45.964	     0.0591658	             0	
46.286	     0.0591994	             0	
46.607	     0.0591994	             0	
46.929	             0	             0	
47.250	             0	             0	
47.571	       1.76699	             0	
47.893	       1.76699	             0	
48.214	             0	             0	
48.536	             0	             0	
48.857	             0	             0	
49.179	       1.74513	             0	
49.500	       1.74513	             0	
49.821	       2.65643	             0	
50.143	       2.65643	             0	
50.464	       8.90839	             0	
50.786	       8.90839	             0	
51.107	             0	             0	
51.429	             0	             0	
51.750	       1.81598	             0	
52.071	       1.81598	             0	
52.393	      0.118725	             0	
52.714	      0.118725	             0	
53.036	      0.118725	             0	
53.357	       4.59647	             0	
53.679	       4.59647	             0	
54.000	       1.85193	             0	
54.321	       1.85193	             0	
54.643	       3.83505	             0	
54.964	       3.83505	             0	
55.286	       2.80119	             0	
55.607	       2.80119	             0	
55.929	       1.93926	             0	
56.250	       1.93926	             0	
56.571	       1.93926	             0	
56.893	       9.43363	             0	
57.214	       9.43363	             0	
57.536	       1.00509	             0	
57.857	       1.00509	             0	
58.179	      0.949761	             0	
58.500	      0.949761	             0	
58.821	       1.01147	             0	
59.143	       1.01147	             0	
59.464	       2.92408	             0	
59.786	       2.92408	             0	
60.107	       2.92408	             0	
60.429	       7.77828	             0	
60.750	       7.77828	             0	
61.071	       5.87258	             0	
61.393	       5.87258	             0	
61.714	       1.02038	             0	
62.036	       1.02038	             0	
62.357	       4.81529	             0	
62.679	       4.81529	             0	
63.000	       5.78558	             0	
63.321	       5.78558	             0	
63.643	       13.5143	             0	
63.964	       13.5143	             0	
64.286	       13.5143	             0	
64.607	       2.89883	             0	
64.929	       2.89883	             0	
65.250	       7.73842	             0	
65.571	       7.73842	             0	
65.893	       7.74403	             0	
66.214	       7.74403	             0	
66.536	       4.89581	             0	
66.857	       4.89581	             0	
67.179	       6.78472	             0	
67.500	       6.78472	             0	
67.821	       6.78472	             0	
68.143	       11.7534	             0	
68.464	       11.7534	             0	
68.786	        4.9094	             0	
69.107	        4.9094	             0	
69.429	       6.85098	             0	
69.750	       6.85098	             0	
70.071	       7.87991	             0	
70.393	       7.87991	             0	
70.714	       7.82415	             0	
71.036	       7.82415	             0	
71.357	       7.82415	             0	
71.679	       11.7672	             0	
72.000	       11.7672	             0	
72.321	       11.6494	             0	
72.643	       11.6494	             0	
72.964	       6.79589	             0	
73.286	       6.79589	             0	
73.607	       5.82532	             0	
73.929	       5.82532	             0	
74.250	       5.94444	             0	
74.571	       5.94444	             0	
74.893	       17.4767	             0	
75.214	       17.4767	             0	
75.536	       17.4767	             0	
75.857	       10.7398	             0	
76.179	       10.7398	             0	
76.500	       12.6223	             0	
76.821	       12.6223	             0	
77.143	       7.76759	             0	
77.464	       7.76759	             0	
77.786	       10.6805	             0	
78.107	       10.6805	             0	
78.429	       6.79669	             0	
78.750	       6.79669	             0	
79.071	       6.79669	             0	
79.393	       15.5353	             0	
79.714	       15.5353	             0	
80.036	       10.6805	             0	
80.357	       10.6805	             0	
80.679	       7.76751	             0	
81.000	       7.76751	             0	
81.321	       8.73826	             0	
81.643	       8.73826	             0	
81.964	       8.73779	             0	
82.286	       8.73779	             0	
82.607	       8.73779	             0	
82.929	       11.6496	             0	
83.250	       11.6496	             0	
83.571	       9.65054	             0	
83.893	       9.65054	             0	
84.214	       10.8246	             0	
84.536	       10.8246	             0	
84.857	       7.81891	             0	
85.179	       7.81891	             0	
85.500	       6.94456	             0	
85.821	       6.94456	             0	
86.143	        9.6979	             0	
86.464	        9.6979	             0	
86.786	        9.6979	             0	
87.107	        6.9425	             0	
87.429	        6.9425	             0	
87.750	       6.78278	             0	
88.071	       6.78278	             0	
88.393	       1.12991	             0	
88.714	       1.12991	             0	
89.036	       6.22309	             0	
89.357	       6.22309	             0	
89.679	       8.90383	             0	
90.000	       8.90383	             0	
90.321	       8.90383	             0	
90.643	        4.3006	             0	
90.964	        4.3006	             0	
91.286	       6.75147	             0	
91.607	       6.75147	             0	
91.929	       4.98254	             0	
92.250	       4.98254	             0	
92.571	       5.93869	             0	
92.893	       5.93869	             0	
93.214	       4.00854	             0	
93.536	       4.00854	             0	
93.857	       4.00854	             0	
94.179	       11.4795	             0	
94.500	       11.4795	             0	
94.821	       4.33203	             0	
95.143	       4.33203	             0	
95.464	       4.09105	             0	
95.786	       4.09105	             0	
96.107	       3.36815	             0	
96.429	       3.36815	             0	
96.750	       1.29412	             0	
97.071	       1.29412	             0	
97.393	       2.05447	             0	
97.714	       2.05447	             0	
98.036	       2.05447	             0	
98.357	       10.0777	             0	
98.679	       10.0777	             0	
99.000	       1.10959	             0	
99.321	       1.10959	             0	
99.643	      0.926588	             0	
99.964	      0.926588	             0	
100.286	       410.978	             0	
100.607	       410.978	             0	
100.929	      0.530508	             0	
101.250	      0.530508	             0	
101.571	      0.530508	             0	
101.893	       0.70808	             0	
102.214	       0.70808	             0	
102.536	      0.354417	             0	
102.857	      0.354417	             0	
103.179	      0.354678	             0	
103.500	      0.354678	             0	
103.821	       0.26502	             0	
104.143	       0.26502	             0	
104.464	      0.177592	             0	
104.786	      0.177592	             0	
105.107	      0.177592	             0	
