
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 20:37:06 September 08, 2025

	   0.0	 180.0
0.000	             0	             0	
0.321	             0	             0	
0.643	             0	             0	
0.964	             0	             0	
1.286	             0	             0	
1.607	             0	             0	
1.929	             0	             0	
2.250	             0	             0	
2.571	             0	             0	
2.893	             0	             0	
3.214	             0	             0	
3.536	             0	             0	
3.857	             0	             0	
4.179	             0	             0	
4.500	             0	             0	
4.821	             0	             0	
5.143	             0	             0	
5.464	             0	             0	
5.786	             0	             0	
6.107	             0	             0	
6.429	             0	             0	
6.750	             0	             0	
7.071	             0	             0	
7.393	             0	      0.433658	
7.714	             0	      0.433658	
8.036	             0	      0.433658	
8.357	             0	             0	
8.679	             0	             0	
9.000	             0	             0	
9.321	             0	             0	
9.643	             0	             0	
9.964	             0	             0	
10.286	             0	             0	
10.607	             0	             0	
10.929	             0	             0	
11.250	             0	             0	
11.571	             0	             0	
11.893	             0	             0	
12.214	             0	             0	
12.536	             0	             0	
12.857	             0	             0	
13.179	             0	             0	
13.500	             0	             0	
13.821	             0	             0	
14.143	             0	             0	
14.464	             0	             0	
14.786	             0	             0	
15.107	             0	             0	
15.429	             0	             0	
15.750	             0	             0	
16.071	             0	             0	
16.393	             0	             0	
16.714	             0	             0	
17.036	             0	             0	
17.357	             0	             0	
17.679	             0	             0	
18.000	             0	             0	
18.321	             0	             0	
18.643	             0	             0	
18.964	             0	             0	
19.286	             0	             0	
19.607	             0	             0	
19.929	             0	             0	
20.250	             0	             0	
20.571	             0	             0	
20.893	       10.6831	             0	
21.214	       10.6831	             0	
21.536	       0.35856	             0	
21.857	       0.35856	             0	
22.179	       2.26848	             0	
22.500	       2.26848	             0	
22.821	       2.26848	             0	
23.143	      0.787976	             0	
23.464	      0.787976	             0	
23.786	      0.731398	             0	
24.107	      0.731398	             0	
24.429	      0.367362	             0	
24.750	      0.367362	             0	
25.071	       3.14262	             0	
25.393	       3.14262	             0	
25.714	      0.369951	             0	
26.036	      0.369951	             0	
26.357	      0.369951	             0	
26.679	       0.74301	             0	
27.000	       0.74301	             0	
27.321	       0.84807	             0	
27.643	       0.84807	             0	
27.964	      0.863739	             0	
28.286	      0.863739	             0	
28.607	       3.80957	             0	
28.929	       3.80957	             0	
29.250	       1.88215	             0	
29.571	       1.88215	             0	
29.893	       1.50917	             0	
30.214	       1.50917	             0	
30.536	       1.50917	             0	
30.857	      0.940234	             0	
31.179	      0.940234	             0	
31.500	       1.89463	             0	
31.821	       1.89463	             0	
32.143	       3.79799	             0	
32.464	       3.79799	             0	
32.786	       1.52239	             0	
33.107	       1.52239	             0	
33.429	       3.81149	             0	
33.750	       3.81149	             0	
34.071	       3.81149	             0	
34.393	       1.14542	             0	
34.714	       1.14542	             0	
35.036	       0.76489	             0	
35.357	       0.76489	             0	
35.679	        3.8272	             0	
36.000	        3.8272	             0	
36.321	       1.65866	             0	
36.643	       1.65866	             0	
36.964	       2.68547	             0	
37.286	       2.68547	             0	
37.607	       2.68547	             0	
37.929	             0	      0.114457	
38.250	             0	      0.114457	
38.571	       2.69032	             0	
38.893	       2.69032	             0	
39.214	       3.84549	             0	
39.536	       3.84549	             0	
39.857	       1.53889	             0	
40.179	       1.53889	             0	
40.500	      0.769703	             0	
40.821	      0.769703	             0	
41.143	       1.03065	             0	
41.464	       1.03065	             0	
41.786	       1.03065	             0	
42.107	      0.769824	             0	
42.429	      0.769824	             0	
42.750	        640.79	             0	
43.071	        640.79	             0	
43.393	       8.48136	             0	
43.714	       8.48136	             0	
44.036	       6.55706	             0	
44.357	       6.55706	             0	
44.679	       10.5919	             0	
45.000	       10.5919	             0	
45.321	       10.5919	             0	
45.643	       10.3803	             0	
45.964	       10.3803	             0	
46.286	       2.31559	             0	
46.607	       2.31559	             0	
46.929	       16.9983	             0	
47.250	       16.9983	             0	
47.571	       2.31603	             0	
47.893	       2.31603	             0	
48.214	       5.59968	             0	
48.536	       5.59968	             0	
48.857	       5.59968	             0	
49.179	       10.7657	             0	
49.500	       10.7657	             0	
49.821	       11.4067	             0	
50.143	       11.4067	             0	
50.464	       9.68137	             0	
50.786	       9.68137	             0	
51.107	        7.5335	             0	
51.429	        7.5335	             0	
51.750	       3.45717	             0	
52.071	       3.45717	             0	
52.393	       2.68776	             0	
52.714	       2.68776	             0	
53.036	       2.68776	             0	
53.357	       5.81411	             0	
53.679	       5.81411	             0	
54.000	       4.01853	             0	
54.321	       4.01853	             0	
54.643	       14.3061	             0	
54.964	       14.3061	             0	
55.286	       5.81676	             0	
55.607	       5.81676	             0	
55.929	       4.24083	             0	
56.250	       4.24083	             0	
56.571	       4.24083	             0	
56.893	       2.32455	             0	
57.214	       2.32455	             0	
57.536	       2.13623	             0	
57.857	       2.13623	             0	
58.179	      0.969671	             0	
58.500	      0.969671	             0	
58.821	       3.25834	             0	
59.143	       3.25834	             0	
59.464	       8.30417	             0	
59.786	       8.30417	             0	
60.107	       8.30417	             0	
60.429	        6.9098	             0	
60.750	        6.9098	             0	
61.071	       1.93792	             0	
61.393	       1.93792	             0	
61.714	       3.87503	             0	
62.036	       3.87503	             0	
62.357	       4.19883	             0	
62.679	       4.19883	             0	
63.000	       2.90343	             0	
63.321	       2.90343	             0	
63.643	       1.93406	             0	
63.964	       1.93406	             0	
64.286	       1.93406	             0	
64.607	       2.24169	             0	
64.929	       2.24169	             0	
65.250	             0	             0	
65.571	             0	             0	
65.893	       2.22251	             0	
66.214	       2.22251	             0	
66.536	       1.92498	             0	
66.857	       1.92498	             0	
67.179	       2.15229	             0	
67.500	       2.15229	             0	
67.821	       2.15229	             0	
68.143	       3.83801	             0	
68.464	       3.83801	             0	
68.786	       1.91491	             0	
69.107	       1.91491	             0	
69.429	       1.91077	             0	
69.750	       1.91077	             0	
70.071	       1.90465	             0	
70.393	       1.90465	             0	
70.714	       1.89941	             0	
71.036	       1.89941	             0	
71.357	       1.89941	             0	
71.679	             0	             0	
72.000	             0	             0	
72.321	      0.940032	             0	
72.643	      0.940032	             0	
72.964	      0.936239	             0	
73.286	      0.936239	             0	
73.607	      0.931371	             0	
73.929	      0.931371	             0	
74.250	      0.927876	             0	
74.571	      0.927876	             0	
74.893	        3.6917	             0	
75.214	        3.6917	             0	
75.536	        3.6917	             0	
75.857	             0	             0	
76.179	             0	             0	
76.500	      0.911503	             0	
76.821	      0.911503	             0	
77.143	             0	             0	
77.464	             0	             0	
77.786	             0	             0	
78.107	             0	             0	
78.429	      0.886857	             0	
78.750	      0.886857	             0	
79.071	      0.886857	             0	
79.393	             0	             0	
79.714	             0	             0	
80.036	       1.72507	             0	
80.357	       1.72507	             0	
80.679	      0.850508	             0	
81.000	      0.850508	             0	
81.321	      0.928186	             0	
81.643	      0.928186	             0	
81.964	      0.825877	             0	
82.286	      0.825877	             0	
82.607	      0.825877	             0	
82.929	             0	             0	
83.250	             0	             0	
83.571	      0.793005	             0	
83.893	      0.793005	             0	
84.214	      0.773449	             0	
84.536	      0.773449	             0	
84.857	       1.51931	             0	
85.179	       1.51931	             0	
85.500	       0.74036	             0	
85.821	       0.74036	             0	
86.143	       2.86126	             0	
86.464	       2.86126	             0	
86.786	       2.86126	             0	
87.107	       1.38445	             0	
87.429	       1.38445	             0	
87.750	             0	             0	
88.071	             0	             0	
88.393	             0	             0	
88.714	             0	             0	
89.036	      0.614679	             0	
89.357	      0.614679	             0	
89.679	        96.592	             0	
90.000	        96.592	             0	
90.321	        96.592	             0	
90.643	             0	             0	
90.964	             0	             0	
91.286	             0	             0	
91.607	             0	             0	
91.929	             0	             0	
92.250	             0	             0	
92.571	             0	             0	
92.893	             0	             0	
93.214	             0	             0	
93.536	             0	             0	
93.857	             0	             0	
94.179	             0	             0	
94.500	             0	             0	
94.821	             0	             0	
95.143	             0	             0	
95.464	             0	             0	
95.786	             0	             0	
96.107	             0	             0	
96.429	             0	             0	
96.750	             0	             0	
97.071	             0	             0	
97.393	             0	             0	
97.714	             0	             0	
98.036	             0	             0	
98.357	             0	             0	
98.679	             0	             0	
99.000	             0	             0	
99.321	             0	             0	
99.643	             0	             0	
99.964	             0	             0	
100.286	             0	             0	
100.607	             0	             0	
100.929	             0	             0	
101.250	             0	             0	
101.571	             0	             0	
101.893	             0	             0	
102.214	             0	             0	
102.536	             0	             0	
102.857	             0	             0	
103.179	             0	             0	
103.500	             0	             0	
103.821	             0	             0	
104.143	             0	             0	
104.464	             0	             0	
104.786	             0	             0	
105.107	             0	             0	
105.429	             0	             0	
105.750	             0	             0	
106.071	             0	             0	
106.393	             0	             0	
106.714	             0	             0	
107.036	             0	             0	
107.357	             0	             0	
107.679	             0	             0	
108.000	             0	             0	
108.321	             0	             0	
108.643	             0	             0	
108.964	             0	             0	
109.286	             0	             0	
109.607	             0	             0	
109.929	             0	             0	
110.250	             0	             0	
110.571	             0	             0	
110.893	             0	             0	
111.214	             0	             0	
111.536	             0	             0	
111.857	             0	             0	
112.179	             0	             0	
112.500	             0	             0	
112.821	             0	             0	
113.143	             0	             0	
113.464	             0	             0	
113.786	             0	             0	
114.107	             0	             0	
114.429	             0	             0	
114.750	             0	             0	
115.071	             0	             0	
115.393	             0	             0	
115.714	             0	             0	
116.036	             0	             0	
116.357	             0	             0	
116.679	             0	             0	
117.000	             0	             0	
117.321	             0	             0	
117.643	             0	             0	
117.964	             0	             0	
118.286	             0	             0	
