s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
0.7278,0.5709,84.4531,0.0683,0.1553,0.1283,0.0000,0.0000,0.0000,0.0000,1,offspring,4,5
0.9523,0.9254,62.4726,0.1514,0.3504,0.1916,0.0000,0.0000,0.0000,0.0000,1,offspring,9,8
0.8944,0.5649,84.3466,0.1733,1.3231,0.1200,0.0000,0.0000,0.0000,0.0000,1,offspring,5,4
0.8446,0.5977,72.7263,0.0936,0.2258,0.0637,0.0000,0.0000,0.0000,0.0000,1,offspring,1,5
0.7325,0.4119,87.0084,0.2497,0.1805,0.2363,0.0000,0.0000,0.0000,0.0000,1,offspring,7,5
0.6372,0.6209,57.7663,0.2714,0.2140,0.2161,0.0000,0.0000,0.0000,0.0000,1,offspring,6,3
0.9888,0.7516,62.2818,0.3200,0.4252,0.9105,0.0000,0.0000,0.0000,0.0000,1,offspring,2,3
0.9927,0.6712,53.9315,0.0614,0.1827,0.2489,0.0000,0.0000,0.0000,0.0000,1,offspring,2,9
0.8683,0.7260,82.4366,0.2722,0.4766,0.2529,0.0000,0.0000,0.0000,0.0000,1,offspring,7,8
0.9749,0.8794,62.6999,0.2630,0.5474,0.3468,0.0000,0.0000,0.0000,0.0000,1,offspring,8,9
0.8087,0.5372,85.7894,0.3460,0.2726,0.1275,0.0000,0.0000,0.0000,0.0000,1,offspring,0,4
0.7933,0.4746,63.1279,0.1831,0.1093,0.5982,0.0000,0.0000,0.0000,0.0000,1,offspring,1,3
0.8145,0.6182,52.0873,0.1147,0.8771,0.3143,0.0000,0.0000,0.0000,0.0000,1,offspring,9,6
0.5357,0.4682,62.3141,0.2698,0.1095,0.2759,0.0000,0.0000,0.0000,0.0000,1,offspring,3,1
0.9298,0.8228,74.2781,0.2233,0.3960,0.0825,0.0000,0.0000,0.0000,0.0000,1,offspring,4,1
0.9744,0.8391,69.3913,0.1305,0.4878,0.0630,0.0000,0.0000,0.0000,0.0000,1,offspring,4,6
0.7443,0.7047,74.3291,0.1130,0.1287,0.0355,0.0000,0.0000,0.0000,0.0000,1,offspring,2,7
0.9706,0.4663,78.5377,0.4274,1.5229,0.4265,0.0000,0.0000,0.0000,0.0000,1,offspring,5,8
0.8917,0.8721,69.5700,0.4272,0.7204,0.2587,0.0000,0.0000,0.0000,0.0000,1,offspring,6,4
0.8782,0.6366,68.2425,0.1946,0.6333,0.3657,0.0000,0.0000,0.0000,0.0000,1,offspring,8,3
0.9537,0.8542,76.8702,0.3131,0.6198,0.1986,0.0000,0.0000,0.0000,0.0000,1,offspring,1,7
0.7784,0.5846,55.2957,0.1415,0.3386,0.3038,0.0000,0.0000,0.0000,0.0000,1,offspring,2,6
0.8035,0.4782,68.4013,0.0686,0.1588,0.1729,0.0000,0.0000,0.0000,0.0000,1,offspring,4,9
0.7256,0.4649,73.0607,0.1187,0.2146,0.2554,0.0000,0.0000,0.0000,0.0000,1,offspring,5,1
0.4665,0.4000,76.6471,1.1465,0.2941,0.2202,0.0000,0.0000,0.0000,0.0000,1,offspring,7,1
0.8545,0.6634,60.4287,0.2427,0.2107,0.4480,0.0000,0.0000,0.0000,0.0000,1,offspring,1,2
1.0000,0.7549,84.5841,0.3792,0.5796,0.2226,0.0000,0.0000,0.0000,0.0000,1,offspring,5,4
0.7161,0.5070,68.1868,0.0990,0.1853,0.0519,0.0000,0.0000,0.0000,0.0000,1,offspring,1,8
0.9682,0.6681,68.3903,0.1798,0.3135,0.4295,0.0000,0.0000,0.0000,0.0000,1,offspring,1,8
1.0000,0.9301,68.4222,0.2185,1.8447,0.4111,0.0000,0.0000,0.0000,0.0000,1,offspring,4,9
