
TracePro Release: 3 2 0 
Polar Candela Distribution Data for 
Data covers +/- 180.000 degrees from Normal
Data for Missed Rays
Data generated at 15:07:10 September 06, 2025

	   0.0	 180.0
0.000	             0	             0	
0.321	             0	             0	
0.643	      0.436075	      0.656244	
0.964	      0.436075	      0.656244	
1.286	     0.0781716	       3.94092	
1.607	     0.0781716	       3.94092	
1.929	      0.622004	       1.31557	
2.250	      0.622004	       1.31557	
2.571	             0	       2.63343	
2.893	             0	       2.63343	
3.214	      0.624815	       4.61116	
3.536	      0.624815	       4.61116	
3.857	      0.624815	       4.61116	
4.179	             0	       4.38255	
4.500	             0	       4.38255	
4.821	             0	       5.27456	
5.143	             0	       5.27456	
5.464	      0.427952	       1.97869	
5.786	      0.427952	       1.97869	
6.107	      0.947439	       8.36488	
6.429	      0.947439	       8.36488	
6.750	             0	       3.43319	
7.071	             0	       3.43319	
7.393	       3.28079	       14.0544	
7.714	       3.28079	       14.0544	
8.036	       3.28079	       14.0544	
8.357	             0	       94.3643	
8.679	             0	       94.3643	
9.000	       2.41311	       8.95263	
9.321	       2.41311	       8.95263	
9.643	      0.617795	      0.314457	
9.964	      0.617795	      0.314457	
10.286	       3.84337	       2.36868	
10.607	       3.84337	       2.36868	
10.929	             0	             0	
11.250	             0	             0	
11.571	             0	             0	
11.893	        5.3961	        1.2154	
12.214	        5.3961	        1.2154	
12.536	       1.02629	             0	
12.857	       1.02629	             0	
13.179	       4.26167	             0	
13.500	       4.26167	             0	
13.821	       2.15743	       2.71771	
14.143	       2.15743	       2.71771	
14.464	      0.733385	      0.742184	
14.786	      0.733385	      0.742184	
15.107	      0.733385	      0.742184	
15.429	       1.48415	             0	
15.750	       1.48415	             0	
16.071	        1.4981	             0	
16.393	        1.4981	             0	
16.714	       3.04777	      0.213442	
17.036	       3.04777	      0.213442	
17.357	       1.52717	      0.205242	
17.679	       1.52717	      0.205242	
18.000	       2.54106	             0	
18.321	       2.54106	             0	
18.643	       1.55545	             0	
18.964	       1.55545	             0	
19.286	       1.55545	             0	
19.607	             0	      0.504558	
19.929	             0	      0.504558	
20.250	             0	       1.19389	
20.571	             0	       1.19389	
20.893	      0.790025	             0	
21.214	      0.790025	             0	
21.536	      0.792319	      0.333199	
21.857	      0.792319	      0.333199	
22.179	       2.07141	      0.320942	
22.500	       2.07141	      0.320942	
22.821	       2.07141	      0.320942	
23.143	       1.58959	      0.617806	
23.464	       1.58959	      0.617806	
23.786	       1.72792	      0.149917	
24.107	       1.72792	      0.149917	
24.429	      0.795004	             0	
24.750	      0.795004	             0	
25.071	       2.63704	             0	
25.393	       2.63704	             0	
25.714	       2.37624	      0.135696	
26.036	       2.37624	      0.135696	
26.357	       2.37624	      0.135696	
26.679	      0.641567	       1.34202	
27.000	      0.641567	       1.34202	
27.321	       2.10447	             0	
27.643	       2.10447	             0	
27.964	       5.61305	             0	
28.286	       5.61305	             0	
28.607	       2.33621	       0.61128	
28.929	       2.33621	       0.61128	
29.250	      0.774253	       3.49917	
29.571	      0.774253	       3.49917	
29.893	             0	      0.372672	
30.214	             0	      0.372672	
30.536	             0	      0.372672	
30.857	       2.06299	             0	
31.179	       2.06299	             0	
31.500	             0	       0.99415	
31.821	             0	       0.99415	
32.143	      0.309524	       429.859	
32.464	      0.309524	       429.859	
32.786	       1.34317	       11.2518	
33.107	       1.34317	       11.2518	
33.429	       1.45772	       3.83374	
33.750	       1.45772	       3.83374	
34.071	       1.45772	       3.83374	
34.393	             0	       2.85274	
34.714	             0	       2.85274	
35.036	      0.535247	       3.70018	
35.357	      0.535247	       3.70018	
35.679	       1.39894	       9.23589	
36.000	       1.39894	       9.23589	
36.321	       1.74095	       3.68763	
36.643	       1.74095	       3.68763	
36.964	      0.665025	        20.389	
37.286	      0.665025	        20.389	
37.607	      0.665025	        20.389	
37.929	             0	       9.07308	
38.250	             0	       9.07308	
38.571	             0	       12.1125	
38.893	             0	       12.1125	
39.214	       4.00292	       11.9654	
39.536	       4.00292	       11.9654	
39.857	       1.43358	      0.593844	
40.179	       1.43358	      0.593844	
40.500	       0.45456	     0.0642747	
40.821	       0.45456	     0.0642747	
41.143	             0	      0.854502	
41.464	             0	      0.854502	
41.786	             0	      0.854502	
42.107	      0.175868	       1.39799	
42.429	      0.175868	       1.39799	
42.750	      0.529394	       1.87738	
43.071	      0.529394	       1.87738	
43.393	             0	       1.11941	
43.714	             0	       1.11941	
44.036	      0.527068	      0.827558	
44.357	      0.527068	      0.827558	
44.679	             0	       1.21854	
45.000	             0	       1.21854	
45.321	             0	       1.21854	
45.643	             0	      0.567228	
45.964	             0	      0.567228	
46.286	             0	      0.374629	
46.607	             0	      0.374629	
46.929	      0.595305	      0.079164	
47.250	      0.595305	      0.079164	
47.571	             0	      0.690629	
47.893	             0	      0.690629	
48.214	      0.520665	      0.481479	
48.536	      0.520665	      0.481479	
48.857	      0.520665	      0.481479	
49.179	             0	      0.619283	
49.500	             0	      0.619283	
49.821	             0	     0.0999574	
50.143	             0	     0.0999574	
50.464	             0	      0.260587	
50.786	             0	      0.260587	
51.107	             0	             0	
51.429	             0	             0	
51.750	             0	             0	
52.071	             0	             0	
52.393	             0	      0.949219	
52.714	             0	      0.949219	
53.036	             0	      0.949219	
53.357	             0	             0	
53.679	             0	             0	
54.000	      0.239249	      0.441234	
54.321	      0.239249	      0.441234	
54.643	       1.00995	      0.413229	
54.964	       1.00995	      0.413229	
55.286	      0.660593	             0	
55.607	      0.660593	             0	
55.929	             0	             0	
56.250	             0	             0	
56.571	             0	             0	
56.893	      0.518293	             0	
57.214	      0.518293	             0	
57.536	             0	             0	
57.857	             0	             0	
58.179	             0	             0	
58.500	             0	             0	
58.821	             0	             0	
59.143	             0	             0	
59.464	             0	             0	
59.786	             0	             0	
60.107	             0	             0	
60.429	             0	             0	
60.750	             0	             0	
61.071	             0	      0.196492	
61.393	             0	      0.196492	
61.714	             0	             0	
62.036	             0	             0	
62.357	             0	             0	
62.679	             0	             0	
63.000	             0	             0	
63.321	             0	             0	
63.643	             0	      0.146446	
63.964	             0	      0.146446	
64.286	             0	      0.146446	
64.607	             0	      0.410213	
64.929	             0	      0.410213	
65.250	             0	      0.421844	
65.571	             0	      0.421844	
65.893	      0.496874	      0.314855	
66.214	      0.496874	      0.314855	
66.536	      0.827452	      0.216775	
66.857	      0.827452	      0.216775	
67.179	      0.551555	     0.0971296	
67.500	      0.551555	     0.0971296	
67.821	      0.551555	     0.0971296	
68.143	      0.597785	      0.271895	
68.464	      0.597785	      0.271895	
68.786	             0	      0.356043	
69.107	             0	      0.356043	
69.429	      0.183565	       1.10735	
69.750	      0.183565	       1.10735	
70.071	      0.182907	      0.293898	
70.393	      0.182907	      0.293898	
70.714	             0	             0	
71.036	             0	             0	
71.357	             0	             0	
71.679	             0	       1.53393	
72.000	             0	       1.53393	
72.321	             0	      0.828426	
72.643	             0	      0.828426	
72.964	      0.189325	        1.3414	
73.286	      0.189325	        1.3414	
73.607	             0	       94.7203	
73.929	             0	       94.7203	
74.250	             0	       4.67327	
74.571	             0	       4.67327	
74.893	             0	     0.0512458	
75.214	             0	     0.0512458	
75.536	             0	     0.0512458	
75.857	       0.23351	      0.124284	
76.179	       0.23351	      0.124284	
76.500	             0	      0.107745	
76.821	             0	      0.107745	
77.143	             0	     0.0540136	
77.464	             0	     0.0540136	
77.786	             0	             0	
78.107	             0	             0	
78.429	             0	             0	
78.750	             0	             0	
79.071	             0	             0	
79.393	             0	             0	
79.714	             0	             0	
80.036	             0	             0	
80.357	             0	             0	
80.679	             0	             0	
81.000	             0	             0	
81.321	             0	             0	
81.643	             0	             0	
81.964	             0	             0	
82.286	             0	             0	
82.607	             0	             0	
82.929	             0	             0	
83.250	             0	             0	
83.571	             0	             0	
83.893	             0	             0	
84.214	             0	             0	
84.536	             0	             0	
84.857	             0	             0	
85.179	             0	             0	
85.500	             0	             0	
85.821	             0	             0	
86.143	             0	             0	
86.464	             0	             0	
86.786	             0	             0	
87.107	             0	             0	
87.429	             0	             0	
87.750	             0	             0	
88.071	             0	             0	
88.393	      0.432225	             0	
88.714	      0.432225	             0	
89.036	             0	             0	
89.357	             0	             0	
89.679	             0	             0	
90.000	             0	             0	
90.321	             0	             0	
90.643	             0	             0	
90.964	             0	             0	
91.286	      0.561243	             0	
91.607	      0.561243	             0	
91.929	             0	             0	
92.250	             0	             0	
92.571	             0	             0	
92.893	             0	             0	
93.214	      0.655514	             0	
93.536	      0.655514	             0	
93.857	      0.655514	             0	
94.179	       1.34589	             0	
94.500	       1.34589	             0	
94.821	             0	             0	
95.143	             0	             0	
95.464	             0	             0	
95.786	             0	             0	
96.107	       1.48087	             0	
96.429	       1.48087	             0	
96.750	             0	             0	
97.071	             0	             0	
97.393	       1.55346	             0	
97.714	       1.55346	             0	
98.036	       1.55346	             0	
98.357	             0	             0	
98.679	             0	             0	
99.000	       1.62785	             0	
99.321	       1.62785	             0	
99.643	       3.31179	             0	
99.964	       3.31179	             0	
100.286	      0.835396	             0	
100.607	      0.835396	             0	
100.929	      0.849434	             0	
101.250	      0.849434	             0	
101.571	      0.849434	             0	
101.893	        1.7377	             0	
102.214	        1.7377	             0	
102.536	      0.877906	             0	
102.857	      0.877906	             0	
103.179	       2.66013	             0	
103.500	       2.66013	             0	
103.821	       2.68131	             0	
104.143	       2.68131	             0	
104.464	             0	             0	
104.786	             0	             0	
105.107	             0	             0	
