generation,role,parent1_idx,parent2_idx,fitness,efficiency,process_score,S2,S3,A3,sigma1,sigma2,sigma3,eff_10,eff_20,eff_30,eff_40,eff_50,eff_60,eff_70,eff_80
1,child,8,7,2.6961,2.6961,0.9182,0.9000,0.8515,73.2156,0.055625,0.055344,11.979898,0.3840,0.1651,0.0600,0.0000,0.0004,0.6918,0.9053,0.4896
1,child,3,7,2.7875,2.7875,0.9298,0.8272,0.9000,60.5071,0.049104,0.074680,8.363069,0.2769,0.3052,0.1061,0.0018,0.0396,0.7892,0.8736,0.3951
1,child,7,4,3.4719,3.4719,0.9482,0.8408,0.9000,61.9850,0.061468,0.084073,12.697817,0.3746,0.2286,0.0825,0.3078,0.8747,0.9150,0.5025,0.1862
1,child,4,6,2.6909,2.6909,0.9268,0.7599,0.7719,32.1516,0.050475,0.094114,20.878577,0.4233,0.2223,0.0148,0.1683,0.4382,0.8202,0.2865,0.3174
1,child,0,2,2.1786,2.1786,0.9180,0.7744,0.7177,49.8673,0.056068,0.078353,6.981203,0.4386,0.2216,0.2657,0.1144,0.3062,0.0774,0.0020,0.7528
1,child,5,0,2.7368,2.7368,0.9134,0.6957,0.9000,56.8991,0.032521,0.071654,4.402693,0.3249,0.2124,0.0522,0.0027,0.1756,0.7564,0.9473,0.2653
1,child,2,9,2.4720,2.4720,0.9021,0.7798,0.7063,62.6304,0.039234,0.085618,6.123850,0.4509,0.2962,0.1396,0.0139,0.0054,0.6174,0.0306,0.9180
1,child,7,5,2.5998,2.5998,0.9222,0.7723,0.8503,77.0012,0.010525,0.009963,11.075238,0.4067,0.2246,0.0266,0.1107,0.3031,0.6902,0.4828,0.3551
1,child,7,4,2.6923,2.6923,0.9149,0.8107,0.7178,57.0132,0.038607,0.042247,6.500945,0.3627,0.3093,0.1360,0.0015,0.0102,0.5539,0.9154,0.4034
1,child,0,6,3.1397,3.1397,0.9211,0.7490,0.7689,61.0386,0.088305,0.032497,11.767127,0.5557,0.2778,0.1195,0.0027,0.1383,0.7295,0.8914,0.4247
1,child,8,1,1.9784,1.9784,0.9399,0.7434,0.8185,56.6242,0.044360,0.059569,6.509113,0.3485,0.1541,0.1072,0.2831,0.6092,0.1497,0.0706,0.2561
1,child,5,6,2.9207,2.9207,0.9217,0.8038,0.6737,37.3974,0.122112,0.079356,11.161977,0.3257,0.2233,0.0542,0.0024,0.2933,0.7116,0.9113,0.3989
1,child,8,9,2.9565,2.9565,0.9206,0.7985,0.7647,58.8205,0.018273,0.039335,5.974817,0.3479,0.1634,0.0143,0.0022,0.3156,0.8390,0.9364,0.3378
1,child,4,7,3.1534,3.1534,0.9307,0.8614,0.7766,65.1853,0.047249,0.077406,4.817344,0.3455,0.0977,0.0637,0.0030,0.3909,0.8642,0.9168,0.4717
1,child,4,0,3.4180,3.4180,0.9180,0.8217,0.7981,54.5834,0.024796,0.053632,7.133006,0.5026,0.2784,0.0865,0.0041,0.2425,0.7368,0.9274,0.6396
1,child,3,1,2.4434,2.4434,0.8957,0.6853,0.6984,50.3621,0.050602,0.077686,6.112962,0.9161,0.4217,0.1160,0.0069,0.0015,0.0953,0.0060,0.8798
1,child,6,7,3.4961,3.4961,0.9415,0.9000,0.8203,90.0000,0.038940,0.048281,15.062351,0.4968,0.1844,0.1011,0.0020,0.5542,0.7079,0.9320,0.5176
1,child,4,8,3.5373,3.5373,0.9583,0.8149,0.8799,49.4723,0.016360,0.046281,9.367015,0.3963,0.1556,0.0871,0.3224,0.8316,0.9314,0.5532,0.2597
1,child,1,8,2.7081,2.7081,0.9065,0.7883,0.8398,31.2616,0.069871,0.071064,10.356170,0.3255,0.3127,0.1607,0.0263,0.0528,0.1226,0.8568,0.8507
1,child,4,1,2.6143,2.6143,0.9161,0.6841,0.7804,63.9572,0.035329,0.035305,9.391151,0.4238,0.1230,0.0495,0.0043,0.0038,0.7921,0.8967,0.3211
1,child,7,6,2.7292,2.7292,0.9605,0.8183,0.7797,65.9146,0.046810,0.087206,14.078816,0.3566,0.1617,0.1400,0.3300,0.8184,0.4152,0.3801,0.1272
1,child,2,8,2.8636,2.8636,0.9114,0.8152,0.8273,31.8734,0.023359,0.079976,4.914967,0.5488,0.3332,0.0840,0.0097,0.1211,0.2479,0.8083,0.7107
1,child,5,2,2.6116,2.6116,0.9255,0.6187,0.7123,51.8175,0.084741,0.061554,2.646464,0.2537,0.1981,0.0536,0.2900,0.5250,0.9285,0.1531,0.2095
1,child,0,2,1.9947,1.9947,0.9503,0.7365,0.6533,45.0114,0.034005,0.083564,17.310659,0.3371,0.1449,0.4275,0.5535,0.3009,0.0547,0.0643,0.1117
1,child,9,6,2.5953,2.5953,0.9079,0.8036,0.7029,30.0000,0.024688,0.036832,20.956546,0.5134,0.1626,0.0865,0.0011,0.0014,0.0104,0.9201,0.8998
1,child,0,9,2.8929,2.8929,0.9174,0.7781,0.7877,70.5539,0.015894,0.014171,5.378647,0.5248,0.2737,0.1507,0.0131,0.1790,0.0568,0.8099,0.8851
1,child,3,5,2.8537,2.8537,0.9234,0.7235,0.8282,58.3115,0.035636,0.032870,19.786566,0.2697,0.2480,0.0869,0.0025,0.0152,0.8765,0.8920,0.4629
1,child,4,0,3.4233,3.4233,0.9289,0.7673,0.7983,56.0202,0.050639,0.033773,3.543147,0.3403,0.1771,0.0313,0.0026,0.5028,0.8588,0.9130,0.5975
1,child,7,8,2.7222,2.7222,0.9149,0.9000,0.8288,64.0748,0.024689,0.034109,11.043590,0.4093,0.1916,0.0219,0.0028,0.2039,0.8114,0.9116,0.1697
1,child,7,2,2.9991,2.9991,0.9214,0.8255,0.7651,66.9446,0.014251,0.029151,4.228325,0.4189,0.2375,0.0718,0.0018,0.3154,0.6384,0.9075,0.4077
1,child,3,1,2.1436,2.1436,0.9401,0.7159,0.7413,50.9675,0.061372,0.054693,13.318213,0.2366,0.1851,0.1974,0.4685,0.6573,0.1430,0.0970,0.1587
1,child,3,2,2.2581,2.2581,0.9246,0.7324,0.6534,30.0000,0.113685,0.053827,35.209800,0.8045,0.6130,0.2973,0.2298,0.1168,0.1929,0.0021,0.0017
1,parent,-1,-1,3.6763,3.6763,0.9435,0.8865,0.8207,56.5196,0.046477,0.055100,8.688822,0.4617,0.2046,0.0560,0.3072,0.8988,0.9218,0.3295,0.4968
1,parent,-1,-1,3.6097,3.6097,0.9263,0.7004,0.8292,74.1687,0.044978,0.028861,9.987724,0.4308,0.2389,0.0505,0.0019,0.7826,0.8498,0.9114,0.3438
1,parent,-1,-1,3.5566,3.5566,0.9152,0.8694,0.7434,56.0217,0.047654,0.020656,10.249787,0.4791,0.1407,0.0923,0.0041,0.4204,0.7859,0.9037,0.7305
1,parent,-1,-1,3.5373,3.5373,0.9583,0.9000,0.8203,90.0000,0.038940,0.048281,15.062351,0.3963,0.1556,0.0871,0.3224,0.8316,0.9314,0.5532,0.2597
1,parent,-1,-1,3.4961,3.4961,0.9415,0.6853,0.6984,50.3621,0.050602,0.077686,6.112962,0.4968,0.1844,0.1011,0.0020,0.5542,0.7079,0.9320,0.5176
1,parent,-1,-1,3.4719,3.4719,0.9482,0.8272,0.9000,60.5071,0.049104,0.074680,8.363069,0.3746,0.2286,0.0825,0.3078,0.8747,0.9150,0.5025,0.1862
1,parent,-1,-1,3.4233,3.4233,0.9289,0.7235,0.8282,58.3115,0.035636,0.032870,19.786566,0.3403,0.1771,0.0313,0.0026,0.5028,0.8588,0.9130,0.5975
1,parent,-1,-1,3.4180,3.4180,0.9180,0.8614,0.7766,65.1853,0.047249,0.077406,4.817344,0.5026,0.2784,0.0865,0.0041,0.2425,0.7368,0.9274,0.6396
1,parent,-1,-1,3.3624,3.3624,0.9232,0.8136,0.6860,57.1643,0.135665,0.043192,18.524111,0.4163,0.1892,0.0660,0.0028,0.3503,0.7708,0.9042,0.6628
1,parent,-1,-1,3.2169,3.2169,0.9383,0.8808,0.8720,57.7485,0.045000,0.045000,9.000000,0.3502,0.2403,0.0367,0.0013,0.4816,0.8256,0.9157,0.3656
