s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
1.0000,1.0000,50.0000,592643.0296,707175.7157,18398.3944,0.0000,0.0000,0.0000,0.0000,66,offspring,1,6
1.0000,1.0000,100.0000,7042922.5200,1290435.3353,310275.7185,0.0000,0.0000,0.0000,0.0000,66,offspring,0,3
1.0000,0.4000,100.0000,1800676.9348,856582.0671,33730.7326,0.0000,0.0000,0.0000,0.0000,66,offspring,4,0
1.0000,1.0000,100.0000,1800581.8953,572857.7951,145611.6548,0.0000,0.0000,0.0000,0.0000,66,offspring,2,3
1.0000,1.0000,50.0000,1069007.2284,49052.9997,25989.2573,0.0000,0.0000,0.0000,0.0000,66,offspring,5,4
1.0000,0.4000,100.0000,348815.3793,237154.3147,10711.0435,0.0000,0.0000,0.0000,0.0000,66,offspring,6,1
1.0000,0.4000,100.0000,7602703.2998,1477246.5904,95865.7406,0.0000,0.0000,0.0000,0.0000,66,offspring,3,4
1.0000,1.0000,50.0000,714110.8416,169971.0739,9564.3884,0.0000,0.0000,0.0000,0.0000,66,offspring,1,4
1.0000,1.0000,100.0000,3263997.6981,576199.8506,289333.6366,0.0000,0.0000,0.0000,0.0000,66,offspring,5,7
1.0000,0.4000,50.0000,2179905.7943,770016.7555,827215.5676,0.0000,0.0000,0.0000,0.0000,66,offspring,9,2
0.4000,0.4000,50.0000,6265228.5390,472779.4655,55196.8550,0.0000,0.0000,0.0000,0.0000,66,offspring,6,3
1.0000,1.0000,50.0000,2293515.1217,930277.4543,82852.1449,0.0000,0.0000,0.0000,0.0000,66,offspring,8,1
1.0000,0.4000,100.0000,2314931.8595,284397.9232,166145.9979,0.0000,0.0000,0.0000,0.0000,66,offspring,6,0
1.0000,1.0000,100.0000,1130120.7025,373641.0670,231595.5993,0.0000,0.0000,0.0000,0.0000,66,offspring,1,7
1.0000,0.4000,100.0000,2546464.9887,716389.9096,805422.5199,0.0000,0.0000,0.0000,0.0000,66,offspring,7,3
1.0000,1.0000,50.0000,5727960.5718,551090.7844,215211.4311,0.0000,0.0000,0.0000,0.0000,66,offspring,7,2
1.0000,1.0000,50.0000,564449.0102,2002420.0740,11808.4211,0.0000,0.0000,0.0000,0.0000,66,offspring,2,1
0.4000,0.4000,50.0000,235381.2298,1098373.6647,53643.2665,0.0000,0.0000,0.0000,0.0000,66,offspring,6,2
1.0000,0.4000,50.0000,1741529.2779,646203.9605,379862.1378,0.0000,0.0000,0.0000,0.0000,66,offspring,7,1
1.0000,0.4000,100.0000,8041005.1365,1652417.4065,278355.4053,0.0000,0.0000,0.0000,0.0000,66,offspring,3,6
1.0000,0.4000,50.0000,16936455.1283,2010921.3496,615714.5188,0.0000,0.0000,0.0000,0.0000,66,offspring,9,3
1.0000,0.4000,50.0000,2650864.1359,533578.2237,30836.9567,0.0000,0.0000,0.0000,0.0000,66,offspring,2,0
1.0000,0.4000,50.0000,28322535.9156,2377266.2584,538401.1904,0.0000,0.0000,0.0000,0.0000,66,offspring,8,3
1.0000,1.0000,50.0000,3664974.1310,1364249.1996,133638.3313,0.0000,0.0000,0.0000,0.0000,66,offspring,0,5
1.0000,1.0000,50.0000,13144821.4399,598914.1904,782886.9972,0.0000,0.0000,0.0000,0.0000,66,offspring,0,7
0.4000,0.4000,100.0000,2352436.3988,690511.7385,744788.6261,0.0000,0.0000,0.0000,0.0000,66,offspring,7,6
1.0000,0.4000,100.0000,5765292.5639,640840.2341,83703.8029,0.0000,0.0000,0.0000,0.0000,66,offspring,6,4
1.0000,0.4000,100.0000,1417649.7941,430900.4542,84004.8154,0.0000,0.0000,0.0000,0.0000,66,offspring,1,9
0.4000,0.4000,100.0000,7376496.8063,525487.2646,85464.5799,0.0000,0.0000,0.0000,0.0000,66,offspring,4,1
1.0000,0.4000,100.0000,748797.1964,319036.0870,615943.6002,0.0000,0.0000,0.0000,0.0000,66,offspring,5,9
