s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
1.0000,0.4000,100.0000,338508.6589,617836.1019,63614.6528,0.0000,0.0000,0.0000,0.0000,62,offspring,0,4
0.4000,0.4000,100.0000,175209.5679,259065.3650,18857.8564,0.0000,0.0000,0.0000,0.0000,62,offspring,4,8
0.4000,0.4000,50.0000,103839.1471,986583.4067,62088.6115,0.0000,0.0000,0.0000,0.0000,62,offspring,0,4
1.0000,1.0000,50.0000,115650.2122,673314.6609,37157.5246,0.0000,0.0000,0.0000,0.0000,62,offspring,6,0
1.0000,1.0000,100.0000,77629.6084,326242.0938,22470.5882,0.0000,0.0000,0.0000,0.0000,62,offspring,6,8
1.0000,0.4000,100.0000,1036029.1628,898198.2375,191709.2321,0.0000,0.0000,0.0000,0.0000,62,offspring,0,1
1.0000,0.4000,50.0000,477150.8527,187131.8550,71101.0377,0.0000,0.0000,0.0000,0.0000,62,offspring,1,0
0.4000,0.4000,50.0000,692763.2619,542050.6395,51680.0309,0.0000,0.0000,0.0000,0.0000,62,offspring,0,5
1.0000,0.4000,50.0000,154207.4966,78497.3827,3802.2233,0.0000,0.0000,0.0000,0.0000,62,offspring,3,1
1.0000,0.4000,50.0000,146694.6303,105750.1248,45697.4067,0.0000,0.0000,0.0000,0.0000,62,offspring,9,4
1.0000,0.4000,50.0000,78031.9192,524664.4574,89628.9352,0.0000,0.0000,0.0000,0.0000,62,offspring,0,4
0.4000,0.4000,100.0000,48148.8944,40744.5261,5970.4108,0.0000,0.0000,0.0000,0.0000,62,offspring,5,3
1.0000,1.0000,100.0000,503083.0207,260082.1098,20427.0920,0.0000,0.0000,0.0000,0.0000,62,offspring,1,5
1.0000,1.0000,100.0000,74479.6960,439975.5625,106117.2651,0.0000,0.0000,0.0000,0.0000,62,offspring,0,2
1.0000,0.4000,100.0000,66386.9270,140582.3263,10882.1534,0.0000,0.0000,0.0000,0.0000,62,offspring,3,2
1.0000,0.4000,50.0000,397691.6274,297418.2493,49519.1178,0.0000,0.0000,0.0000,0.0000,62,offspring,8,9
