s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
0.4000,0.4000,100.0000,6651.2233,15705.5242,187.6432,0.0000,0.0000,0.0000,0.0000,51,offspring,3,0
0.4000,0.4000,82.1110,2213.1524,4135.1710,241.8263,0.0000,0.0000,0.0000,0.0000,51,offspring,9,0
1.0000,1.0000,100.0000,2696.0111,1820.3048,150.2799,0.0000,0.0000,0.0000,0.0000,51,offspring,8,7
1.0000,1.0000,100.0000,3648.6278,39285.4644,2456.7669,0.0000,0.0000,0.0000,0.0000,51,offspring,6,7
0.4000,0.4000,50.0000,2871.4398,15482.9557,681.3976,0.0000,0.0000,0.0000,0.0000,51,offspring,3,6
1.0000,1.0000,100.0000,7028.5587,10449.3326,656.6982,0.0000,0.0000,0.0000,0.0000,51,offspring,2,4
1.0000,0.4000,91.7140,932.3354,4800.9384,121.6180,0.0000,0.0000,0.0000,0.0000,51,offspring,8,0
1.0000,1.0000,50.0000,2380.0338,14562.9080,195.7600,0.0000,0.0000,0.0000,0.0000,51,offspring,8,6
1.0000,0.4000,100.0000,9750.0693,76859.8331,788.6106,0.0000,0.0000,0.0000,0.0000,51,offspring,3,4
1.0000,0.4000,54.6668,4608.8181,4430.9997,444.3672,0.0000,0.0000,0.0000,0.0000,51,offspring,9,8
0.4000,0.4000,50.0000,18558.6075,15364.8906,597.0959,0.0000,0.0000,0.0000,0.0000,51,offspring,8,1
1.0000,0.4000,50.0000,1216.1762,7040.3541,733.5603,0.0000,0.0000,0.0000,0.0000,51,offspring,0,8
1.0000,0.4000,100.0000,3943.2269,2618.5563,599.3335,0.0000,0.0000,0.0000,0.0000,51,offspring,7,6
1.0000,0.4000,100.0000,5220.3821,6211.1467,444.9749,0.0000,0.0000,0.0000,0.0000,51,offspring,0,9
1.0000,0.4000,50.0000,20227.0665,3572.5092,939.5086,0.0000,0.0000,0.0000,0.0000,51,offspring,1,9
1.0000,1.0000,100.0000,3870.3293,2979.6858,940.4227,0.0000,0.0000,0.0000,0.0000,51,offspring,1,6
0.4000,0.4000,70.5577,2243.9754,3032.7630,224.3264,0.0000,0.0000,0.0000,0.0000,51,offspring,2,1
1.0000,0.4000,50.0000,9904.3792,4953.8261,523.6363,0.0000,0.0000,0.0000,0.0000,51,offspring,1,9
1.0000,0.4000,100.0000,38226.1756,31564.5857,9661.6970,0.0000,0.0000,0.0000,0.0000,51,offspring,5,1
0.4000,0.4000,100.0000,6171.5117,24281.4205,1417.2418,0.0000,0.0000,0.0000,0.0000,51,offspring,7,5
0.4000,0.4000,50.0000,1883.5197,10474.3783,256.0516,0.0000,0.0000,0.0000,0.0000,51,offspring,4,2
1.0000,0.4000,81.2211,18691.2638,27130.5009,1614.9230,0.0000,0.0000,0.0000,0.0000,51,offspring,3,7
1.0000,1.0000,100.0000,629.7286,3244.2875,190.0927,0.0000,0.0000,0.0000,0.0000,51,offspring,2,0
0.4000,0.4000,50.0000,15410.0767,8929.4090,1874.9575,0.0000,0.0000,0.0000,0.0000,51,offspring,5,8
0.4000,0.4000,50.0000,15628.6625,17609.3659,4796.1092,0.0000,0.0000,0.0000,0.0000,51,offspring,6,1
1.0000,1.0000,50.0000,4834.3899,13641.3014,878.5799,0.0000,0.0000,0.0000,0.0000,51,offspring,1,9
1.0000,1.0000,50.0000,1150.9903,2751.9360,342.4842,0.0000,0.0000,0.0000,0.0000,51,offspring,8,7
1.0000,1.0000,100.0000,2545.0094,13418.3707,1169.1330,0.0000,0.0000,0.0000,0.0000,51,offspring,4,5
1.0000,0.4000,100.0000,19530.6081,26535.9624,377.2453,0.0000,0.0000,0.0000,0.0000,51,offspring,6,4
0.4000,0.4000,50.0000,5426.5952,16029.7701,1094.5600,0.0000,0.0000,0.0000,0.0000,51,offspring,5,6
1.0000,0.4000,50.0000,2990.6182,30058.1087,181.3728,0.0000,0.0000,0.0000,0.0000,51,offspring,3,2
1.0000,0.4000,88.9527,1422.8273,3180.4257,64.6595,0.0000,0.0000,0.0000,0.0000,51,offspring,2,8
1.0000,0.4000,50.0000,3075.7515,16057.8570,676.2408,0.0000,0.0000,0.0000,0.0000,51,offspring,7,1
