s1,s2,a1,sigma_s1,sigma_s2,sigma_a1,fitness,efficiency,processability,uniformity,generation,role,parent1_idx,parent2_idx
1.0000,0.4000,50.0000,8694.5872,48120.7842,948.0204,0.0000,0.0000,0.0000,0.0000,52,offspring,6,9
1.0000,0.4000,100.0000,16904.5104,30001.9096,632.2539,0.0000,0.0000,0.0000,0.0000,52,offspring,0,8
1.0000,0.4000,50.0000,8542.1087,19729.3478,1304.3466,0.0000,0.0000,0.0000,0.0000,52,offspring,2,6
0.4000,0.4000,50.0000,9114.4096,7417.2777,872.6229,0.0000,0.0000,0.0000,0.0000,52,offspring,1,5
0.4000,0.4000,50.0000,6557.2211,11805.0398,688.5556,0.0000,0.0000,0.0000,0.0000,52,offspring,2,6
1.0000,0.4000,50.0000,22178.1437,70518.8912,5047.7449,0.0000,0.0000,0.0000,0.0000,52,offspring,3,4
0.4000,0.4000,50.0000,11519.7073,10539.2308,1261.2632,0.0000,0.0000,0.0000,0.0000,52,offspring,5,4
1.0000,0.4000,54.2127,3516.9798,41385.7221,355.1751,0.0000,0.0000,0.0000,0.0000,52,offspring,6,7
1.0000,1.0000,100.0000,3497.2741,14156.3507,406.9842,0.0000,0.0000,0.0000,0.0000,52,offspring,0,8
0.4000,0.4000,50.0000,21990.8639,13018.4928,327.1745,0.0000,0.0000,0.0000,0.0000,52,offspring,8,1
1.0000,0.4000,100.0000,5579.8702,18527.0316,318.3766,0.0000,0.0000,0.0000,0.0000,52,offspring,2,0
1.0000,0.4000,100.0000,5357.2352,23512.1308,277.6399,0.0000,0.0000,0.0000,0.0000,52,offspring,2,6
0.4000,0.4000,50.0000,5619.5551,21474.5788,1473.8139,0.0000,0.0000,0.0000,0.0000,52,offspring,2,3
1.0000,0.4000,100.0000,8489.2933,33776.7625,697.3369,0.0000,0.0000,0.0000,0.0000,52,offspring,2,4
1.0000,1.0000,50.0000,2983.7699,19580.0888,467.7368,0.0000,0.0000,0.0000,0.0000,52,offspring,4,0
1.0000,0.4000,98.9606,2264.0068,3373.1959,160.8663,0.0000,0.0000,0.0000,0.0000,52,offspring,8,2
1.0000,0.4000,50.0000,11701.1552,43588.6818,717.2778,0.0000,0.0000,0.0000,0.0000,52,offspring,7,1
1.0000,1.0000,50.0000,11809.6971,35972.1243,763.0264,0.0000,0.0000,0.0000,0.0000,52,offspring,7,6
1.0000,0.4000,100.0000,8805.1045,51101.7295,1304.5935,0.0000,0.0000,0.0000,0.0000,52,offspring,8,3
1.0000,0.4000,50.0000,8338.3594,64228.3605,1360.8825,0.0000,0.0000,0.0000,0.0000,52,offspring,9,4
1.0000,0.4000,50.0000,3601.9977,3960.2685,1258.1490,0.0000,0.0000,0.0000,0.0000,52,offspring,1,6
1.0000,0.4000,50.0000,13074.3540,29185.1626,374.7097,0.0000,0.0000,0.0000,0.0000,52,offspring,0,1
0.4000,0.4000,50.0000,12270.7402,15238.0725,746.7541,0.0000,0.0000,0.0000,0.0000,52,offspring,6,8
1.0000,0.4000,100.0000,26966.0617,44046.3166,1296.9412,0.0000,0.0000,0.0000,0.0000,52,offspring,2,7
1.0000,0.4000,99.2225,2096.0300,10859.4424,260.6742,0.0000,0.0000,0.0000,0.0000,52,offspring,0,9
1.0000,0.4000,100.0000,6280.1711,9297.2554,556.0840,0.0000,0.0000,0.0000,0.0000,52,offspring,6,1
1.0000,0.4000,100.0000,33485.2247,70889.8487,661.7980,0.0000,0.0000,0.0000,0.0000,52,offspring,6,2
1.0000,0.4000,100.0000,33485.2247,70889.8487,661.7980,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,100.0000,6280.1711,9297.2554,556.0840,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,99.2225,2096.0300,10859.4424,260.6742,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,100.0000,26966.0617,44046.3166,1296.9412,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
0.4000,0.4000,50.0000,12270.7402,15238.0725,746.7541,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,50.0000,13074.3540,29185.1626,374.7097,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,50.0000,3601.9977,3960.2685,1258.1490,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,50.0000,8338.3594,64228.3605,1360.8825,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,0.4000,100.0000,8805.1045,51101.7295,1304.5935,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
1.0000,1.0000,50.0000,11809.6971,35972.1243,763.0264,0.0000,0.0000,0.0000,0.0000,52,parent,-1,-1
